month,items
2014-01-01 00:00:00+00:00,17369
2014-02-01 00:00:00+00:00,15441
2014-03-01 00:00:00+00:00,16653
2014-04-01 00:00:00+00:00,15965
2014-05-01 00:00:00+00:00,16384
2014-06-01 00:00:00+00:00,16974
2014-07-01 00:00:00+00:00,17144
2014-08-01 00:00:00+00:00,16293
2014-09-01 00:00:00+00:00,17024
2014-10-01 00:00:00+00:00,16789
2014-11-01 00:00:00+00:00,15161
2014-12-01 00:00:00+00:00,14586
2015-01-01 00:00:00+00:00,15513
2015-02-01 00:00:00+00:00,14514
2015-03-01 00:00:00+00:00,15640
2015-04-01 00:00:00+00:00,14376
2015-05-01 00:00:00+00:00,14226
2015-06-01 00:00:00+00:00,15755
2015-07-01 00:00:00+00:00,15997
2015-08-01 00:00:00+00:00,14713
2015-09-01 00:00:00+00:00,15635
2015-10-01 00:00:00+00:00,14994
2015-11-01 00:00:00+00:00,14124
2015-12-01 00:00:00+00:00,13434
2016-01-01 00:00:00+00:00,13136
2016-02-01 00:00:00+00:00,13339
2016-03-01 00:00:00+00:00,12950
2016-04-01 00:00:00+00:00,13761
2016-05-01 00:00:00+00:00,14160
2016-06-01 00:00:00+00:00,14672
2016-07-01 00:00:00+00:00,13793
2016-08-01 00:00:00+00:00,15026
2016-09-01 00:00:00+00:00,14516
2016-10-01 00:00:00+00:00,13980
2016-11-01 00:00:00+00:00,13941
2016-12-01 00:00:00+00:00,12228
2017-01-01 00:00:00+00:00,13351
2017-02-01 00:00:00+00:00,12759
2017-03-01 00:00:00+00:00,13762
2017-04-01 00:00:00+00:00,11705
2017-05-01 00:00:00+00:00,13454
2017-06-01 00:00:00+00:00,13480
2017-07-01 00:00:00+00:00,13504
2017-08-01 00:00:00+00:00,12956
2017-09-01 00:00:00+00:00,12405
2017-10-01 00:00:00+00:00,13155
2017-11-01 00:00:00+00:00,12192
2017-12-01 00:00:00+00:00,10181
2018-01-01 00:00:00+00:00,12273
2018-02-01 00:00:00+00:00,10643
2018-03-01 00:00:00+00:00,10848
2018-04-01 00:00:00+00:00,10615
2018-05-01 00:00:00+00:00,11013
2018-06-01 00:00:00+00:00,10534
2018-07-01 00:00:00+00:00,11377
2018-08-01 00:00:00+00:00,11013
2018-09-01 00:00:00+00:00,10129
2018-10-01 00:00:00+00:00,11411
2018-11-01 00:00:00+00:00,10489
2018-12-01 00:00:00+00:00,9159
2019-01-01 00:00:00+00:00,10148
2019-02-01 00:00:00+00:00,8928
2019-03-01 00:00:00+00:00,9419
2019-04-01 00:00:00+00:00,8986
2019-05-01 00:00:00+00:00,9561
2019-06-01 00:00:00+00:00,9266
2019-07-01 00:00:00+00:00,9556
2019-08-01 00:00:00+00:00,9069
2019-09-01 00:00:00+00:00,9119
2019-10-01 00:00:00+00:00,9471
2019-11-01 00:00:00+00:00,8408
2019-12-01 00:00:00+00:00,7645
2020-01-01 00:00:00+00:00,8642
2020-02-01 00:00:00+00:00,7792
2020-03-01 00:00:00+00:00,6414
2020-04-01 00:00:00+00:00,5163
2020-05-01 00:00:00+00:00,6286
2020-06-01 00:00:00+00:00,8362
2020-07-01 00:00:00+00:00,8879
2020-08-01 00:00:00+00:00,7905
2020-09-01 00:00:00+00:00,8109
2020-10-01 00:00:00+00:00,7931
2020-11-01 00:00:00+00:00,7475
2020-12-01 00:00:00+00:00,6696
2021-01-01 00:00:00+00:00,6155
2021-02-01 00:00:00+00:00,6201
2021-03-01 00:00:00+00:00,6831
2021-04-01 00:00:00+00:00,6003
2021-05-01 00:00:00+00:00,6243
2021-06-01 00:00:00+00:00,7137
2021-07-01 00:00:00+00:00,6773
2021-08-01 00:00:00+00:00,6408
2021-09-01 00:00:00+00:00,6399
2021-10-01 00:00:00+00:00,5867
2021-11-01 00:00:00+00:00,6392
2021-12-01 00:00:00+00:00,5474
2022-01-01 00:00:00+00:00,6206
2022-02-01 00:00:00+00:00,5678
2022-03-01 00:00:00+00:00,5809
2022-04-01 00:00:00+00:00,4778
2022-05-01 00:00:00+00:00,5488
2022-06-01 00:00:00+00:00,5374
2022-07-01 00:00:00+00:00,4905
2022-08-01 00:00:00+00:00,5283
2022-09-01 00:00:00+00:00,5101
2022-10-01 00:00:00+00:00,5010
2022-11-01 00:00:00+00:00,4867
2022-12-01 00:00:00+00:00,3636
2023-01-01 00:00:00+00:00,4694
2023-02-01 00:00:00+00:00,4401
2023-03-01 00:00:00+00:00,4811
2023-04-01 00:00:00+00:00,4157
2023-05-01 00:00:00+00:00,4784
2023-06-01 00:00:00+00:00,4933
2023-07-01 00:00:00+00:00,4723
2023-08-01 00:00:00+00:00,4598
2023-09-01 00:00:00+00:00,4606
2023-10-01 00:00:00+00:00,4702
2023-11-01 00:00:00+00:00,4193
2023-12-01 00:00:00+00:00,3577
2024-01-01 00:00:00+00:00,4113
2024-02-01 00:00:00+00:00,3595
2024-03-01 00:00:00+00:00,3435
2024-04-01 00:00:00+00:00,3775
2024-05-01 00:00:00+00:00,3940
2024-06-01 00:00:00+00:00,3634
2024-07-01 00:00:00+00:00,4039
2024-08-01 00:00:00+00:00,3764
2024-09-01 00:00:00+00:00,3568
2024-10-01 00:00:00+00:00,3594
2024-11-01 00:00:00+00:00,3256
2024-12-01 00:00:00+00:00,2942
2025-01-01 00:00:00+00:00,3250
2025-02-01 00:00:00+00:00,2919
2025-03-01 00:00:00+00:00,3063
2025-04-01 00:00:00+00:00,3021
2025-05-01 00:00:00+00:00,3217
2025-06-01 00:00:00+00:00,3113
2025-07-01 00:00:00+00:00,3336
2025-08-01 00:00:00+00:00,2797
2025-09-01 00:00:00+00:00,3085
2025-10-01 00:00:00+00:00,2915
2025-11-01 00:00:00+00:00,2217
2025-12-01 00:00:00+00:00,1970
