year,category,items,quantity
2014,Combined hormonal contraceptives,4606974,444412806.0
2014,Combined hormonal systems,18837,72966.0
2014,Emergency contraception,195783,197653.0
2014,Intra-uterine progestogen-only device,132542,133556.0
2014,Oral progestogen-only contraceptives,2564088,303159388.0
2014,Parenteral progestogen-only contraceptives,1113565,1125423.0
2014,Spermicidal contraceptives,3627,327379.0
2015,Combined hormonal contraceptives,4463799,430619920.0
2015,Combined hormonal systems,19842,79625.0
2015,Emergency contraception,178921,180848.0
2015,Intra-uterine progestogen-only device,126451,127368.0
2015,Oral progestogen-only contraceptives,2711034,320950198.0
2015,Parenteral progestogen-only contraceptives,1086449,1097311.0
2015,Spermicidal contraceptives,3140,297501.0
2016,Combined hormonal contraceptives,4288884,412470557.0
2016,Combined hormonal systems,19959,83656.0
2016,Emergency contraception,165502,167310.0
2016,Intra-uterine progestogen-only device,123251,124049.0
2016,Oral progestogen-only contraceptives,2874314,341144868.0
2016,Parenteral progestogen-only contraceptives,1076574,1088754.0
2016,Spermicidal contraceptives,2410,230369.0
2017,Combined hormonal contraceptives,4041029,388933177.0
2017,Combined hormonal systems,19558,83030.0
2017,Emergency contraception,152904,155330.0
2017,Intra-uterine progestogen-only device,129170,130055.0
2017,Oral progestogen-only contraceptives,2974231,354033597.0
2017,Parenteral progestogen-only contraceptives,1071797,1088364.0
2017,Spermicidal contraceptives,2066,196449.0
2018,Combined hormonal contraceptives,3847046,370836852.0
2018,Combined hormonal systems,18715,81372.0
2018,Emergency contraception,129504,133160.0
2018,Intra-uterine progestogen-only device,132644,133459.0
2018,Oral progestogen-only contraceptives,3057305,367245198.0
2018,Parenteral progestogen-only contraceptives,1071370,1098757.0
2018,Spermicidal contraceptives,1690,162712.0
2019,Combined hormonal contraceptives,3667847,355470695.0
2019,Combined hormonal systems,18265,80091.0
2019,Emergency contraception,109576,114328.0
2019,Intra-uterine progestogen-only device,141442,142281.0
2019,Oral progestogen-only contraceptives,3124253,380356976.0
2019,Parenteral progestogen-only contraceptives,1056587,1081948.0
2019,Spermicidal contraceptives,1507,150616.0
2020,Combined hormonal contraceptives,3407081,318262479.0
2020,Combined hormonal systems,17400,75130.0
2020,Emergency contraception,89654,94475.0
2020,Intra-uterine progestogen-only device,96913,98051.0
2020,Oral progestogen-only contraceptives,3292634,395516561.0
2020,Parenteral progestogen-only contraceptives,898327,933298.0
2020,Spermicidal contraceptives,1058,111213.0
2021,Combined hormonal contraceptives,3185784,292007206.0
2021,Combined hormonal systems,16898,71483.0
2021,Emergency contraception,75883,80581.0
2021,Intra-uterine progestogen-only device,128310,129222.0
2021,Oral progestogen-only contraceptives,3262210,388921778.0
2021,Parenteral progestogen-only contraceptives,930581,969191.0
2021,Spermicidal contraceptives,736,77679.0
2022,Combined hormonal contraceptives,2982244,273156093.0
2022,Combined hormonal systems,16481,70391.0
2022,Emergency contraception,62135,66926.0
2022,Intra-uterine progestogen-only device,143577,144673.0
2022,Oral progestogen-only contraceptives,3191601,381071419.0
2022,Parenteral progestogen-only contraceptives,928344,970251.0
2022,Spermicidal contraceptives,682,73872.0
2023,Combined hormonal contraceptives,2769727,253505282.0
2023,Combined hormonal systems,15242,65351.0
2023,Emergency contraception,54179,59158.0
2023,Intra-uterine progestogen-only device,155457,156539.0
2023,Oral progestogen-only contraceptives,3136795,375502384.0
2023,Parenteral progestogen-only contraceptives,915780,957755.0
2023,Spermicidal contraceptives,217,22923.0
2024,Combined hormonal contraceptives,2511885,226744821.0
2024,Combined hormonal systems,14085,60278.0
2024,Emergency contraception,43655,48214.0
2024,Intra-uterine progestogen-only device,140783,141690.0
2024,Oral progestogen-only contraceptives,3010965,354633557.0
2024,Parenteral progestogen-only contraceptives,888852,931201.0
2024,Spermicidal contraceptives,9,729.0
2025,Combined hormonal contraceptives,2146128,189934032.0
2025,Combined hormonal systems,12858,54311.0
2025,Emergency contraception,34903,38862.0
2025,Intra-uterine progestogen-only device,136551,137455.0
2025,Oral progestogen-only contraceptives,2741757,316571178.0
2025,Parenteral progestogen-only contraceptives,839714,879093.0
2025,Spermicidal contraceptives,6,729.0
