year,category,items
2016,Combined hormonal contraceptives,4288884
2016,Combined hormonal systems,19959
2016,Emergency contraception,165502
2016,Intra-uterine progestogen-only device,123251
2016,Oral progestogen-only contraceptives,2874314
2016,Parenteral progestogen-only contraceptives,1076574
2016,Spermicidal contraceptives,2410
2017,Combined hormonal contraceptives,4041029
2017,Combined hormonal systems,19558
2017,Emergency contraception,152904
2017,Intra-uterine progestogen-only device,129170
2017,Oral progestogen-only contraceptives,2974231
2017,Parenteral progestogen-only contraceptives,1071797
2017,Spermicidal contraceptives,2066
2018,Combined hormonal contraceptives,3847046
2018,Combined hormonal systems,18715
2018,Emergency contraception,129504
2018,Intra-uterine progestogen-only device,132644
2018,Oral progestogen-only contraceptives,3057305
2018,Parenteral progestogen-only contraceptives,1071370
2018,Spermicidal contraceptives,1690
2019,Combined hormonal contraceptives,3667847
2019,Combined hormonal systems,18265
2019,Emergency contraception,109576
2019,Intra-uterine progestogen-only device,141442
2019,Oral progestogen-only contraceptives,3124253
2019,Parenteral progestogen-only contraceptives,1056587
2019,Spermicidal contraceptives,1507
2020,Combined hormonal contraceptives,3407081
2020,Combined hormonal systems,17400
2020,Emergency contraception,89654
2020,Intra-uterine progestogen-only device,96913
2020,Oral progestogen-only contraceptives,3292634
2020,Parenteral progestogen-only contraceptives,898327
2020,Spermicidal contraceptives,1058
2021,Combined hormonal contraceptives,3185784
2021,Combined hormonal systems,16898
2021,Emergency contraception,75883
2021,Intra-uterine progestogen-only device,128310
2021,Oral progestogen-only contraceptives,3262210
2021,Parenteral progestogen-only contraceptives,930581
2021,Spermicidal contraceptives,736
2022,Combined hormonal contraceptives,2982244
2022,Combined hormonal systems,16481
2022,Emergency contraception,62135
2022,Intra-uterine progestogen-only device,143577
2022,Oral progestogen-only contraceptives,3191601
2022,Parenteral progestogen-only contraceptives,928344
2022,Spermicidal contraceptives,682
2023,Combined hormonal contraceptives,2769727
2023,Combined hormonal systems,15242
2023,Emergency contraception,54179
2023,Intra-uterine progestogen-only device,155457
2023,Oral progestogen-only contraceptives,3136795
2023,Parenteral progestogen-only contraceptives,915780
2023,Spermicidal contraceptives,217
2024,Combined hormonal contraceptives,2511885
2024,Combined hormonal systems,14085
2024,Emergency contraception,43655
2024,Intra-uterine progestogen-only device,140783
2024,Oral progestogen-only contraceptives,3010965
2024,Parenteral progestogen-only contraceptives,888852
2024,Spermicidal contraceptives,9
2025,Combined hormonal contraceptives,2146128
2025,Combined hormonal systems,12858
2025,Emergency contraception,34903
2025,Intra-uterine progestogen-only device,136551
2025,Oral progestogen-only contraceptives,2741757
2025,Parenteral progestogen-only contraceptives,839714
2025,Spermicidal contraceptives,6
