bnf_code,bnf_name,chemical,total_items,total_cost,number_of_practices,months_prescribed
0913011N0BEAAAA,Ensure Plus milkshake style liquid (9 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),6376895,157781675.3040401,8464,140
0913011N0BFAAAG,Fortisip Bottle (8 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),5676869,122046335.82015002,8800,116
0913011N0BEAAAA,Ensure Plus_Milkshake Style Liq(12 Flav),Ready to serve 1.5 kcal/ml milkshake (0913011),5420761,63302890.32999997,7920,32
0913011V0BDAAAD,Fortisip Compact liquid (8 flavours),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),4501000,206332080.408,8768,142
0913011N0BFAAAG,Fortisip Bottle_Liq (8 Flav),Ready to serve 1.5 kcal/ml milkshake (0913011),4463351,75892566.78999999,8307,41
0913011V0BCAAAC,Ensure Compact liquid (4 flavours),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),2584179,147211347.84444007,8101,142
0913011W0BBABAB,Fortisip Compact Protein liquid (9 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",2350857,171766112.83687022,8028,142
0913011M0BEABAA,Fortijuce liquid (7 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),2342608,73245587.41925995,8333,116
0913011M0BEABAA,Fortijuce_Liq (7 Flav),Ready to serve 1.5 kcal/ml juice style (0913011),1517956,23101703.14,7725,41
0913011M0BDAAAB,Ensure Plus Juce liquid (6 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),1386704,56155618.72180999,7520,142
0913011N0BGAAAB,Fresubin Energy liquid (8 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),1257274,31499837.980630003,4824,135
0913011S0BFAAAE,Fresubin 2kcal drink (6 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",1179078,66047585.09909995,6065,142
0913011M0BDAAAB,Ensure Plus Juce_Liq Feed (6 Flav),Ready to serve 1.5 kcal/ml juice style (0913011),802027,13302059.160000008,6789,41
0913011N0BEAAAA,Ensure Plus_Milkshake Style Liq(10 Flav),Ready to serve 1.5 kcal/ml milkshake (0913011),770087,11152651.350000013,6168,6
0913011V0BDAAAD,Fortisip Compact_Liq (6 Flav),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),759019,30760790.90000002,7658,35
0913011N0BCABAF,Aymes Complete liquid (4 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),752515,21579971.747749988,6247,115
0913011N0BFAAAG,Fortisip Bottle (5 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),687280,29619677.601979997,6145,26
0913011N0BGAAAB,Fresubin Energy_Liq (9 Flav),Ready to serve 1.5 kcal/ml milkshake (0913011),665081,12195317.219999997,4080,41
0913011S0BDAAAC,Ensure TwoCal liquid (4 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",550039,59581126.025580004,5591,142
0913011M0BFAAAC,Fresubin Jucy drink (5 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),470410,19991415.868329994,4953,142
0913011J0BEAAAA,Forticreme Complete dessert banana,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),454508,20857320.31968001,6624,142
0913011I0BBAAAC,Ensure liquid (3 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),441830,17412569.447780006,7045,95
0913011T0BBABAA,Fortisip Compact Fibre liquid (3 flavours),RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),436275,41583302.28291,6865,142
0913011K0BDAAAB,Fortisip Extra_Liq (5 Flav),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),416903,10178583.949999984,5786,41
0913011N0BEAAAA,Ensure Plus_Milkshake Style Liq(11 Flav),Ready to serve 1.5 kcal/ml milkshake (0913011),400615,5465108.369999997,5685,3
0913011I0BBAAAC,Ensure_Liq Feed (3 Flav),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),361688,11434385.94999999,6974,41
0913011M0BCABAG,Altrajuce liquid (4 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),360443,18606547.313419983,5899,70
0913011L0BBAAAB,Ensure Plus Fibre liquid (5 flavours),RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),354349,26913985.003839973,5370,142
0913011S0BEAAAD,Fortisip 2kcal liquid (5 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",347582,32491826.29919999,6088,115
0913011M0BEABAA,Fortijuce liquid (5 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),320174,17335218.11476,5816,26
0913011J0BEAAAA,Forticreme Complete_Dessert (Banana),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),309070,7371073.95,6281,41
0913011N0BBABAI,Altraplen Energy liquid (4 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),292328,8422411.413569998,4852,54
