bnf_code,bnf_name,chemical,total_items,total_cost,number_of_practices,months_prescribed
0913011K0BCAAAE,Ensure Plus Advance liquid (5 flavours),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),290864,17151171.047600005,6130,138
0913011J0BEADAA,Forticreme Complete dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),238024,8663461.382640002,6136,142
0913011L0BBAAAB,Ensure Plus Fibre_Liq Feed (5 Flav),RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),235762,7401018.859999988,4727,41
0913011S0BFAAAE,Fresubin 2kcal_Drink (6 Flav),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",234582,7885459.929999997,4152,41
0913011S0BDAAAC,Ensure TwoCal_Liq (4 Flav),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",228419,11662206.030000007,4592,41
0913011K0BDAAAB,Fortisip Extra liquid (2 flavours),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),223394,10305262.236340005,5074,142
0913011J0BGABAE,Nutricrem dessert chocolate orange,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),213400,14420149.952719975,5333,128
0913011J0BEABAA,Forticreme Complete dessert chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),200023,6698185.205869994,5925,142
0913011V0BBAAAA,Altraplen Compact liquid banana,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),197877,10589262.450979985,5690,128
0913011J0BEADAA,Forticreme Complete_Dessert (Vanilla),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),193521,5226740.259999997,6118,41
0913011K0BEAAAD,Fresubin Protein Energy drink (5 flavours),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),193306,10656677.92532,3750,142
0913011X0BCABAD,Altraplen Compact Daily liquid (4 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),192963,6714513.970930008,5142,50
0913011V0BDAAAD,Fortisip Compact_Liq (7 Flav),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),191788,8335311.91,6073,6
0913011J0BEACAA,Forticreme Complete dessert forest fruits,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),184522,5423555.562710001,5737,142
0913011V0BDABAF,Fortisip Compact Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),172120,8168622.119619995,5333,142
0913011V0BBACAA,Altraplen Compact liquid strawberry,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),165796,7516951.073880016,5544,142
0913011J0BEACAA,Forticreme Complete_Dessert (F/Fruits),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),164815,3713141.7399999984,5846,41
0913011U0BBAAAA,Fresubin 2kcal Fibre drink (6 flavours),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",158199,11354071.189619994,3357,142
0913011J0BEABAA,Forticreme Complete_Dessert (Choc),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),153862,3412427.840000002,5799,41
0913011L0BCAAAA,Fresubin Energy Fibre liquid (6 flavours),RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),151372,9157134.170089997,3140,142
0913011J0BGADAE,Nutricrem dessert strawberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),138831,7754913.202260011,4999,142
0913011J0BGAEAE,Nutricrem dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),127926,7241901.908339998,4872,142
0913011V0BBADAA,Altraplen Compact liquid vanilla,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),125252,5202974.849599997,5226,142
0913011N0BCABAF,Aymes Actagain 1.5 Complete liquid (4 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),124978,4214485.476539999,4177,19
0913011M0BEAAAA,Fortijuce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),107915,4067764.75089,5906,142
0913011N0BEABAA,Ensure Plus Commence liquid assorted,Ready to serve 1.5 kcal/ml milkshake (0913011),100549,3655520.114199996,3501,142
0913011S0BBAAAA,Aymes ActaGain 2.4 Complete Maxi liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",98515,4155712.7850899994,3481,47
0913011K0BEAAAD,Fresubin Protein Energy_Drink (5 Flav),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),94867,2501474.989999998,2515,41
0913011J0BFAAAB,Fresubin 2kcal Creme dessert cappuccino,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),94163,5908004.502699997,3445,127
0913011S0BBADAB,Aymes 2.0kcal liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",93320,5028891.804580003,4072,95
0913011V0BBABAA,Altraplen Compact liquid hazel chocolate,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),90407,3460111.2877799966,4718,127
0913011U0BCAAAB,Resource_2.0 Fibre Liq Feed (6 Flav),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",84844,2135545.339999999,1832,41
0913011V0BDABAF,Fortisip Compact_S/Pack Liq,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),83798,4679382.44,5111,41
0913011M0BBABAE,Aymes Actagain Juce liquid (5 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),74208,3627454.3633699985,3838,17
0913011I0BDAAAA,Fresubin Original drink (5 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),71752,3757487.29159,2520,126
0913011L0BCAAAA,Fresubin Energy Fibre_Liq (6 Flav),RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),70407,2466554.740000003,2127,41
0913011W0BCAAAC,Fresubin 3.2kcal drink (3 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",64623,4561606.998630004,2639,65
0913011N0BEAAAA,Ensure Plus milkshake style liquid (8 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),62739,2720748.0637300005,3852,2
0913011I0BDAAAA,Fresubin Orig_Liq (5 Flav),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),60908,1745759.1300000004,2087,41
0913011J0BFADAB,Fresubin 2kcal Creme dessert vanilla,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),59857,2942788.0035600024,3006,128
0913011T0BBABAA,Fortisip Compact Fibre_Liq (3 Flav),RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),58600,3718862.669999999,4156,32
0913011J0BBAAAF,Aymes ActaCal Creme dessert (2 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),58591,2526309.1544799996,2965,67
0913011I0BBAAAC,Ensure liquid (2 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),55724,4906042.932359998,3810,47
0913011N0BCAAAE,Aymes Complete Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),54288,1618225.9880100011,3257,105
0913011K0BBAAAA,Altraplen Protein liquid strawberry,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),54026,3832368.4601700013,3544,142
0913011J0BFAEAB,Fresubin 2kcal Creme dessert wild strawberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),53518,2444973.3078200007,2945,128
0913011J0BFABAB,Fresubin 2kcal Creme dessert chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),51436,2438692.5668200008,2871,127
0913011J0BGACAE,Nutricrem dessert mint chocolate,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),51365,2164420.2196900006,3470,84
0913011M0BEAAAA,Fortijuce_S/Pack Liq,Ready to serve 1.5 kcal/ml juice style (0913011),45577,1616086.0499999993,4309,41
0913011U0BCAAAB,Resource Fibre 2.0 liquid (6 flavours),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",44800,1465824.85055,1137,115
0913011N0BIADAD,Resource_Energy Liq (Apricot),Ready to serve 1.5 kcal/ml milkshake (0913011),36961,1049740.4700000004,1297,41
0913011N0BIABAD,Resource_Energy Liq (Sbery-Rasp),Ready to serve 1.5 kcal/ml milkshake (0913011),35731,1085575.4199999992,1392,41
0913011W0BBAAAA,Fortisip Compact Protein Starter Pack liquid,"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",35433,2328065.473440003,4019,142
0913011U0BBAAAA,Fresubin 2kcal Fibre_Drink (6 Flav),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",34298,1793593.7599999967,2349,41
0913011W0BCAAAC,Fresubin 3.2kcal drink (4 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",31863,2758929.9003800005,1870,27
0913011M0BFAAAC,Fresubin Jucy_Drink (5 Flav),Ready to serve 1.5 kcal/ml juice style (0913011),31401,909626.6800000011,1857,21
0913011N0BIACAD,Resource_Energy Liq (Vanilla),Ready to serve 1.5 kcal/ml milkshake (0913011),29941,881031.8899999995,1362,41
0913011V0BEAAAE,Fresubin 2kcal Mini drink (3 flavours),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),29235,1476136.372409998,1348,112
0913011N0BGAAAB,Fresubin Energy liquid (7 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),27466,1155381.5090100002,1377,7
0913011K0BBABAA,Altraplen Protein liquid vanilla,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),27289,1707316.8117600014,2767,142
0913011M0BBABAE,Aymes ActaGain Juce liquid (4 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),26127,1191412.3489799995,2749,19
0913011N0BIABAD,Resource Energy liquid strawberry & raspberry,Ready to serve 1.5 kcal/ml milkshake (0913011),26072,983231.04763,1017,142
0913011S0BBAAAA,Aymes Actagain 2.4 liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",22975,1255741.3748100004,2177,11
0913011N0BIADAD,Resource Energy liquid apricot,Ready to serve 1.5 kcal/ml milkshake (0913011),21378,821138.2434300001,1014,120
0913011X0BBABAB,Aymes ActaGain 600 liquid (3 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),21287,914521.7424000007,1877,35
0913011K0BDACAB,Fortisip Extra_S/Pack,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),20196,926272.7299999995,2402,41
0913011J0BFAFAC,Fresubin YOcreme dessert apricot-peach,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),19151,867806.1344800001,1710,142
0913011N0BIAAAD,Resource_Energy Liq (Choc),Ready to serve 1.5 kcal/ml milkshake (0913011),18959,516805.71999999933,1253,41
0913011N0BIACAD,Resource Energy liquid vanilla,Ready to serve 1.5 kcal/ml milkshake (0913011),18219,613393.0440300001,892,142
0913011J0BFACAB,Fresubin 2kcal Creme dessert praline,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),18112,568347.6149299998,1792,128
0913011X0BBABAB,Aymes Actagain 2.4 Daily liquid (3 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),17973,813719.4475699998,1909,11
0913011Z0BBAAAA,Fortisip PlantBased 1.5kcal liquid mango passionfruit,Ready to serve 1.5 kcal/ml milkshake plant based (0913011),17165,1222876.5499999998,2819,30
0913011N0BIAAAD,Resource Energy liquid chocolate,Ready to serve 1.5 kcal/ml milkshake (0913011),17030,896610.1349800009,965,142
0913011W0BBABAB,Fortisip Compact Protein_Liq (4 Flav),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",16790,808825.3900000005,2542,19
0913011M0BBABAE,Aymes ActaGain Juce liquid (5 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),16027,765088.7468500002,2174,6
0913011T0BBAAAA,Fortisip Compact Fibre Starter Pack liquid,RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),14819,973821.9328299997,2825,142
0913011S0BBAAAA,Aymes Actagain 2.4 Complete Maxi liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",12834,639655.8208999997,1679,5
0913011J0BGAAAD,Nutricrem Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),12638,707778.0157800005,2179,119
0913011S0BBAAAA,Aymes ActaGain 2.4 Complete Maxi liquid (2 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",12510,488797.9843,1302,19
0913011S0BBAEAI,Aymes Actagain 2.0 liquid (6 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",12033,797083.24881,1614,16
0913011V0BBAEAB,Altraplen Compact Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),11704,609470.2950200004,1861,119
0913011K0BDACAB,Fortisip Extra Starter Pack liquid,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),11111,597803.3703400003,1642,60
0913011W0BCABAD,Fresubin Pro Compact drink (3 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",9185,507425.2903599998,1397,18
0913011Z0BBABAA,Fortisip PlantBased 1.5kcal liquid mocha,Ready to serve 1.5 kcal/ml milkshake plant based (0913011),9008,588288.1712300004,2024,30
0913011N0BIAEAD,Resource_Energy Liq (Coffee),Ready to serve 1.5 kcal/ml milkshake (0913011),8406,171550.96999999974,783,41
0913011M0BCAAAF,Altrajuce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),7829,354492.40288999997,1850,69
0913011J0BFAIAC,Fresubin YOcreme dessert raspberry,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),7538,315270.19855000003,1102,142
0913011T0BCAAAB,Fresubin 2kcal Fibre Mini drink (2 flavours),RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),7289,425195.5982100001,768,112
0913011X0BBABAB,Aymes Actagain 600 liquid (3 flavours),Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),6727,289034.0540399999,1094,5
0913011N0BIAEAD,Resource Energy liquid coffee,Ready to serve 1.5 kcal/ml milkshake (0913011),5562,161139.58839999983,437,127
0913011J0BFAGAC,Fresubin YOcreme dessert biscuit,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),5372,242086.1706499998,789,142
0913011J0BFAHAC,Fresubin YOcreme dessert lemon,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),5336,197178.48596000014,871,142
0913011N0BBAAAK,Altraplen Energy Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),5308,153911.10780999996,985,53
0913011W0BCABAD,Fresubin Pro Compact drink (5 flavours),"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",5074,292827.20824999997,1148,3
0913011J0BBAAAF,Aymes Creme dessert (2 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),5034,153517.40155000004,740,26
0913011V0BCABAG,Ensure Compact Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),4354,165206.74881,1370,20
0913011N0BCACAM,Aymes Actagain 1.5 Plant Powered liquid (3 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),4153,218148.84961000006,1094,15
0913011Q0BDAAAB,Fresubin YoDrink (3 flavours),Ready to serve 1.5 kcal/ml yoghurt style drink (0913011),3817,137751.25875999997,716,101
0913011J0BFAFAC,Fresubin YOcreme_Dessert (Apricot-Peach),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),3686,96275.59000000007,601,26
0913011N0BCAAAE,Aymes Actagain 1.5 Complete Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),3621,133889.65711,797,19
0913011X0BCAAAC,Altraplen Compact Daily Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),3153,112098.17740999999,953,49
0913011M0BFABAD,Fresubin Jucy drink starter pack,Ready to serve 1.5 kcal/ml juice style (0913011),2698,92563.45107000004,779,83
0913011N0BDAAAJ,EnergieShake Complete 1.5kcal liquid (4 flavours),Ready to serve 1.5 kcal/ml milkshake (0913011),2323,58661.49054999997,430,100
0913011S0BBACAG,Aymes 2.0kcal Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",2315,92051.38479999994,737,57
0913011N0BGABAB,Fresubin Energy liquid unflavoured,Ready to serve 1.5 kcal/ml milkshake (0913011),2273,94649.44056999995,479,34
0913011M0BBABAE,Aymes ActaGain Juce liquid (2 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),2162,99424.30322999999,694,7
0913011M0BDABAI,Ensure Plus Juce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),2015,70892.91428,791,20
0913011U0BDAAAC,Aymes Actagain 2.0 Fibre liquid (3 flavours),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",1945,146614.83514999997,495,15
0913011K0BBACAC,Altraplen Protein Starter Pack liquid,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),1773,86002.16655,493,89
0913011M0BBAAAH,Aymes Actagain Juce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),1704,62997.194410000004,546,17
0913011T0BBAAAA,Fortisip Compact Fibre_Liq S/Pack,RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),1609,73879.05,678,10
0913011W0BBAAAA,Fortisip Compact Protein_S/Pack Liq,"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",1598,85919.81000000004,653,16
0913011R0BBAAAA,Fresubin Dessert Fruit,RtS 1.6 kcal/g dessert style (fruit based) (0913011),1215,55379.64358,312,51
0913011J0BBAAAF,Aymes Actagain Creme dessert (4 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),1211,63043.31524999999,622,1
0913011U0BCAAAB,Resource Fibre 2.0 liquid (2 flavours),"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",1194,149763.79692000008,123,27
0913011M0BBAAAH,Aymes ActaGain Juce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),1091,33034.22978999999,525,32
0913011S0BBABAF,Aymes ActaGain 2.4 Complete Maxi Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",1047,45855.91142999998,401,42
0913011J0BBABAH,Aymes ActaCal Creme Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),1041,24933.622419999985,426,56
0913011K0BDABAB,Fortisip_Protein Liq (Apricot),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),910,50754.01000000002,157,41
0913011J0BFAGAC,Fresubin YOcreme_Dessert (Biscuit),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),880,18540.48999999999,258,28
0913011I0BDAAAA,Fresubin Original drink (3 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),709,71717.81010999998,237,9
0913011J0BFAIAC,Fresubin YOcreme_Dessert (Raspberry),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),448,11175.229999999992,240,28
0913011M0BBABAE,Aymes ActaJuce liquid (2 flavours),Ready to serve 1.5 kcal/ml juice style (0913011),437,19167.108640000002,216,4
0913011I0BDAAAA,Fresubin Original drink vanilla,Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),430,41628.48697,141,7
0913011R0BBAAAA,Fresubin Dessert Fruit Puree,RtS 1.6 kcal/g dessert style (fruit based) (0913011),378,21273.419089999996,165,34
0913011X0BBAAAA,Aymes ActaGain 600 Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),374,14134.060230000001,184,34
0913011J0BCAAAI,EnergieShake dessert (2 flavours),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),355,10399.24683,103,69
0913011J0BFAHAC,Fresubin YOcreme_Dessert (Lemon),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),297,6083.179999999999,163,26
0913011Z0BCAAAB,Fresubin Plant-Based drink,Ready to serve 1.5 kcal/ml milkshake plant based (0913011),246,14199.386489999999,126,7
0913011S0BBABAF,Aymes Actagain 2.4 Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",242,11659.911669999996,113,11
0913011X0BBAAAA,Aymes Actagain 2.4 Daily Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),206,7875.189520000001,104,11
0913011S0BBAFAJ,Aymes Actagain 2.0 Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",179,8615.998660000001,95,12
0913011K0BDABAB,Fortisip Protein liquid apricot,RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),155,8280.779999999999,42,43
0913011X0BBAAAA,Aymes Actagain 600 Starter Pack liquid,Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),154,5702.719879999998,55,5
0913011S0BBABAF,Aymes Actagain 2.4 Complete Maxi Starter Pack liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",147,7548.053480000001,75,5
0913011V0BBACAA,Nutriplen_Liq (Sbery),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),136,6613.089999999997,86,4
0913011N0BCADAN,Aymes Actagain 1.5 Plant Powered Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),99,3651.37016,78,13
0913011J0BFAJAC,Fresubin YOcreme_Dessert (Neutral),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),98,3016.08,53,16
0913011S0BCAAAH,EnergieShake 2.0kcal liquid (3 flavours),"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",91,4411.551569999998,59,32
0913011V0BBADAA,Nutriplen_Liq (Vanilla),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),87,2963.849999999999,62,4
0913011U0BDABAD,Aymes Actagain 2.0 Fibre Starter Pack liquid,"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",44,2311.4955299999997,20,12
0913011M0BBAAAH,Aymes ActaJuce Starter Pack liquid,Ready to serve 1.5 kcal/ml juice style (0913011),42,1364.6265,33,4
0913011J0BGADAE,Nutricrem_Dessert (Sbery),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),41,999.9800000000004,28,4
0913011J0BBABAH,Aymes Actagain Creme Starter Pack dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),37,1068.4936,28,1
0913011K0BBAAAA,Nutriplen Protein_Liq (Sbery),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),24,1048.5300000000002,18,4
0913011J0BGAEAE,Nutricrem_Dessert (Vanilla),RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),16,234.75,13,3
0913011W0AAABAB,Generic Fortisip Compact Protein liquid,"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",15,287.40648,3,3
0913011K0BBABAA,Nutriplen Protein_Liq (Vanilla),RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),13,217.13000000000005,8,4
