vmp_code,form_descr,bnf_code,atc_code
9004511000001107,pressurizedinhalation.inhalation,0302000U0AAAAAA,R03BA08
9004411000001108,pressurizedinhalation.inhalation,0302000U0AAABAB,R03BA08
9652711000001107,pressurizedinhalation.inhalation,0301011E0AAADAD,R03AC13
9720211000001107,pressurizedinhalation.inhalation,0303010J0AAADAD,R03BC03
10075611000001101,pressurizedinhalation.inhalation,0301011U0AAAHAH,R03AC12
10514511000001106,pressurizedinhalation.inhalation,0301012A0AAABAB,C01CA24
10525011000001107,pressurizedinhalation.inhalation,0301012A0AAACAC,C01CA24
10621011000001101,pressurizedinhalation.inhalation,0302000C0AABVBV,R03BA01
10621111000001100,pressurizedinhalation.inhalation,0302000C0AABWBW,R03BA01
12911011000001100,pressurizedinhalation.inhalation,0302000C0AABXBX,R03AK08
13801911000001104,pressurizedinhalation.inhalation,0303010Q0AAANAN,R03BC01
14959511000001107,pressurizedinhalation.inhalation,0302000K0AAAZAZ,R03BA02
15374611000001106,pressurizedinhalation.inhalation,0302000K0AABABA,R03BA02
21113711000001102,pressurizedinhalation.inhalation,0302000N0AABJBJ,R03AK11
21113811000001105,pressurizedinhalation.inhalation,0302000N0AABKBK,R03AK11
21113911000001100,pressurizedinhalation.inhalation,0302000N0AABLBL,R03AK11
28422511000001101,pressurizedinhalation.inhalation,0301040M0AAADAD,R03AL01
31087411000001106,pressurizedinhalation.inhalation,0302000C0AABZBZ,R03AK08
32960711000001105,pressurizedinhalation.inhalation,0302000K0AABBBB,R03AK07
34683311000001106,pressurizedinhalation.inhalation,0302000AAAAAAAA,R03AL09
35647511000001107,pressurizedinhalation.inhalation,0302000N0AABPBP,R03AK11
35647611000001106,pressurizedinhalation.inhalation,0302000N0AABQBQ,R03AK11
39133611000001108,pressurizedinhalation.inhalation,0302000K0AABCBC,R03AK07
39343511000001103,pressurizedinhalation.inhalation,0302000Y0AAAAAA,R03AL11
39343611000001104,pressurizedinhalation.inhalation,0301040AAAAAAAA,R03AL07
40766811000001104,pressurizedinhalation.inhalation,0302000AAAAABAB,R03AL09
35936711000001103,powderinhalation.inhalation,0301011R0AAAIAI,R03AC02
35938011000001101,powderinhalation.inhalation,0301011U0AAABAB,R03AC12
35936911000001101,powderinhalation.inhalation,0301011R0AAAJAJ,R03AC02
35937811000001108,powderinhalation.inhalation,0301011U0AAAAAA,R03AC12
35936611000001107,powderinhalation.inhalation,0301011R0AAAKAK,R03AC02
35907611000001101,powderinhalation.inhalation,0302000C0AAALAL,R03BA01
35907711000001105,powderinhalation.inhalation,0302000C0AAAGAG,R03BA01
35936811000001106,powderinhalation.inhalation,0301011R0AAALAL,R03AC02
35908311000001107,powderinhalation.inhalation,0302000C0AAAHAH,R03BA01
36059911000001104,powderinhalation.inhalation,0302000N0AAAAAA,R03BA05
36059311000001100,powderinhalation.inhalation,0302000N0AAACAC,R03BA05
35908211000001104,powderinhalation.inhalation,0302000C0AAAKAK,R03BA01
36059211000001108,powderinhalation.inhalation,0302000N0AAADAD,R03BA05
36059811000001109,powderinhalation.inhalation,0302000N0AAABAB,R03BA05
35909011000001104,powderinhalation.inhalation,0302000C0AAAJAJ,R03BA01
36059511000001106,powderinhalation.inhalation,0302000N0AAAFAF,R03BA05
35908911000001108,powderinhalation.inhalation,0302000C0AAAQAQ,R03BA01
36059411000001107,powderinhalation.inhalation,0302000N0AAAEAE,R03BA05
36059711000001101,powderinhalation.inhalation,0302000N0AAAPAP,R03BA05
36059611000001105,powderinhalation.inhalation,0302000N0AAAQAQ,R03BA05
35909411000001108,powderinhalation.inhalation,0302000C0AABIBI,R03BA01
35908011000001109,powderinhalation.inhalation,0302000C0AABJBJ,R03BA01
35912411000001100,powderinhalation.inhalation,0302000K0AAAGAG,R03BA02
35912111000001105,powderinhalation.inhalation,0302000K0AAAKAK,R03BA02
35908411000001100,powderinhalation.inhalation,0302000C0AABUBU,R03BA01
35908711000001106,powderinhalation.inhalation,0302000C0AABKBK,R03BA01
35909111000001103,powderinhalation.inhalation,0302000C0AABSBS,R03BA01
38897911000001106,powderinhalation.inhalation,0302000N0AAARAR,R03BA05
38897811000001101,powderinhalation.inhalation,0302000N0AAASAS,R03BA05
36565411000001101,powderinhalation.inhalation,0302000N0AAATAT,R03BA05
38897711000001109,powderinhalation.inhalation,0302000N0AAAUAU,R03BA05
35937211000001107,powderinhalation.inhalation,0301011R0AAAFAF,R03AC02
38897611000001100,powderinhalation.inhalation,0302000N0AAAXAX,R03AK06
38897511000001104,powderinhalation.inhalation,0302000N0AAAYAY,R03AK06
38897411000001103,powderinhalation.inhalation,0302000N0AAAZAZ,R03AK06
