vmp_code,form_descr
35369511000001103,powderinhalation.inhalation
39696311000001100,powderinhalation.inhalation
39712711000001109,powderinhalation.inhalation
12626211000001108,powderinhalation.inhalation
39709711000001100,powderinhalation.inhalation
39709811000001108,powderinhalation.inhalation
35916311000001106,powderinhalation.inhalation
35912711000001106,powderinhalation.inhalation
39717411000001100,powderinhalation.inhalation
39717311000001107,powderinhalation.inhalation
39112911000001101,powderinhalation.inhalation
39113011000001109,powderinhalation.inhalation
35912011000001109,powderinhalation.inhalation
38896811000001103,powderinhalation.inhalation
9479011000001103,powderinhalation.inhalation
9478911000001107,powderinhalation.inhalation
39113211000001104,powderinhalation.inhalation
39113311000001107,powderinhalation.inhalation
38895611000001107,powderinhalation.inhalation
38895411000001109,powderinhalation.inhalation
36151011000001106,powderinhalation.inhalation
4378111000001103,powderinhalation.inhalation
8024611000001102,powderinhalation.inhalation
9117811000001107,powderinhalation.inhalation
9207411000001106,powderinhalation.inhalation
10703011000001101,powderinhalation.inhalation
10703111000001100,powderinhalation.inhalation
13566211000001103,powderinhalation.inhalation
13566111000001109,powderinhalation.inhalation
15424511000001100,powderinhalation.inhalation
15425411000001103,powderinhalation.inhalation
15426011000001103,powderinhalation.inhalation
15426411000001107,powderinhalation.inhalation
15427011000001100,powderinhalation.inhalation
17313811000001104,powderinhalation.inhalation
17313711000001107,powderinhalation.inhalation
19544811000001101,powderinhalation.inhalation
20514511000001105,powderinhalation.inhalation
20515111000001102,powderinhalation.inhalation
38893611000001108,powderinhalation.inhalation
21496211000001102,powderinhalation.inhalation
22555311000001104,powderinhalation.inhalation
23661311000001105,powderinhalation.inhalation
23661411000001103,powderinhalation.inhalation
24645511000001105,powderinhalation.inhalation
26148711000001101,powderinhalation.inhalation
27890611000001109,powderinhalation.inhalation
28049611000001104,powderinhalation.inhalation
28365011000001100,powderinhalation.inhalation
31087511000001105,powderinhalation.inhalation
32687711000001109,powderinhalation.inhalation
33596311000001107,powderinhalation.inhalation
34955111000001103,powderinhalation.inhalation
39116511000001109,powderinhalation.inhalation
39116311000001103,powderinhalation.inhalation
39116411000001105,powderinhalation.inhalation
39134511000001107,powderinhalation.inhalation
40087411000001104,powderinhalation.inhalation
40455811000001109,powderinhalation.inhalation
40455711000001101,powderinhalation.inhalation
44098611000001100,powderinhalation.inhalation
44098711000001109,powderinhalation.inhalation
12197411000001102,inhalationsolution.inhalation
24670111000001108,inhalationsolution.inhalation
29987211000001108,inhalationsolution.inhalation
37692711000001105,inhalationsolution.inhalation
37692511000001100,inhalationsolution.inhalation
37692311000001106,inhalationsolution.inhalation
39488111000001102,inhalationsolution.inhalation
