vmp_code,form_descr,bnf_code
35936611000001107,powderinhalation.inhalation,0301011R0AAAKAK
35907611000001101,powderinhalation.inhalation,0302000C0AAALAL
35907711000001105,powderinhalation.inhalation,0302000C0AAAGAG
35936811000001106,powderinhalation.inhalation,0301011R0AAALAL
35908311000001107,powderinhalation.inhalation,0302000C0AAAHAH
36059911000001104,powderinhalation.inhalation,0302000N0AAAAAA
36059311000001100,powderinhalation.inhalation,0302000N0AAACAC
35908211000001104,powderinhalation.inhalation,0302000C0AAAKAK
36059211000001108,powderinhalation.inhalation,0302000N0AAADAD
36059811000001109,powderinhalation.inhalation,0302000N0AAABAB
35909011000001104,powderinhalation.inhalation,0302000C0AAAJAJ
36059511000001106,powderinhalation.inhalation,0302000N0AAAFAF
35908911000001108,powderinhalation.inhalation,0302000C0AAAQAQ
36059411000001107,powderinhalation.inhalation,0302000N0AAAEAE
36059711000001101,powderinhalation.inhalation,0302000N0AAAPAP
36059611000001105,powderinhalation.inhalation,0302000N0AAAQAQ
35909411000001108,powderinhalation.inhalation,0302000C0AABIBI
35908011000001109,powderinhalation.inhalation,0302000C0AABJBJ
35912411000001100,powderinhalation.inhalation,0302000K0AAAGAG
35912111000001105,powderinhalation.inhalation,0302000K0AAAKAK
35908411000001100,powderinhalation.inhalation,0302000C0AABUBU
35908711000001106,powderinhalation.inhalation,0302000C0AABKBK
35909111000001103,powderinhalation.inhalation,0302000C0AABSBS
38897911000001106,powderinhalation.inhalation,0302000N0AAARAR
38897811000001101,powderinhalation.inhalation,0302000N0AAASAS
36565411000001101,powderinhalation.inhalation,0302000N0AAATAT
38897711000001109,powderinhalation.inhalation,0302000N0AAAUAU
35937211000001107,powderinhalation.inhalation,0301011R0AAAFAF
38897611000001100,powderinhalation.inhalation,0302000N0AAAXAX
38897511000001104,powderinhalation.inhalation,0302000N0AAAYAY
38897411000001103,powderinhalation.inhalation,0302000N0AAAZAZ
39695511000001104,powderinhalation.inhalation,0302000C0AAAEAE
39695611000001100,powderinhalation.inhalation,0302000C0AAAFAF
39695711000001109,powderinhalation.inhalation,0302000C0AAAIAI
3432911000001109,powderinhalation.inhalation,0302000K0AAARAR
3433011000001101,powderinhalation.inhalation,0302000K0AAASAS
35369511000001103,powderinhalation.inhalation,0302000C0AABLBL
39696311000001100,powderinhalation.inhalation,0302000C0AAAPAP
39712711000001109,powderinhalation.inhalation,0303010Q0AAADAD
12626211000001108,powderinhalation.inhalation,0301011E0AAAAAA
39709711000001100,powderinhalation.inhalation,0301011R0AAAVAV
39709811000001108,powderinhalation.inhalation,0301011R0AAAWAW
35916311000001106,powderinhalation.inhalation,0301011V0AABBBB
35912711000001106,powderinhalation.inhalation,0302000K0AAAHAH
39717411000001100,powderinhalation.inhalation,0301020I0AAAIAI
39717311000001107,powderinhalation.inhalation,0301020I0AAAHAH
39112911000001101,powderinhalation.inhalation,0301011E0AAABAB
39113011000001109,powderinhalation.inhalation,0301011E0AAACAC
35912011000001109,powderinhalation.inhalation,0302000K0AAALAL
38896811000001103,powderinhalation.inhalation,0302000K0AAAMAM
9479011000001103,powderinhalation.inhalation,0301020Q0AAAAAA
9478911000001107,powderinhalation.inhalation,0301020Q0AAABAB
39113211000001104,powderinhalation.inhalation,0301011U0AAAEAE
39113311000001107,powderinhalation.inhalation,0301011R0AAAQAQ
38895611000001107,powderinhalation.inhalation,0302000R0AAACAC
38895411000001109,powderinhalation.inhalation,0302000R0AAAAAA
4378111000001103,powderinhalation.inhalation,0302000K0AAAUAU
8024611000001102,powderinhalation.inhalation,0302000K0AAAVAV
9117811000001107,powderinhalation.inhalation,0302000K0AAAWAW
9207411000001106,powderinhalation.inhalation,0301011R0AABZBZ
13566211000001103,powderinhalation.inhalation,0301011R0AACBCB
13566111000001109,powderinhalation.inhalation,0301011R0AACCCC
17313811000001104,powderinhalation.inhalation,0301011X0AAABAB
17313711000001107,powderinhalation.inhalation,0301011X0AAAAAA
20515111000001102,powderinhalation.inhalation,0307000R0AAAAAA
38893611000001108,powderinhalation.inhalation,0301020R0AAAAAA
21496211000001102,powderinhalation.inhalation,0301020S0AAAAAA
23661311000001105,powderinhalation.inhalation,0302000V0AAAAAA
23661411000001103,powderinhalation.inhalation,0302000V0AAABAB
24645511000001105,powderinhalation.inhalation,0301040W0AAAAAA
26148711000001101,powderinhalation.inhalation,0302000C0AABYBY
27890611000001109,powderinhalation.inhalation,0301020T0AAAAAA
28049611000001104,powderinhalation.inhalation,0301040Y0AAAAAA
28365011000001100,powderinhalation.inhalation,0301040V0AAAAAA
31087511000001105,powderinhalation.inhalation,0302000C0AACACA
33596311000001107,powderinhalation.inhalation,0301020Q0AAADAD
34955111000001103,powderinhalation.inhalation,0302000Z0AAAAAA
39116511000001109,powderinhalation.inhalation,0302000X0AAAAAA
39116311000001103,powderinhalation.inhalation,0302000X0AAABAB
39116411000001105,powderinhalation.inhalation,0302000X0AAACAC
39134511000001107,powderinhalation.inhalation,0302000W0AAAAAA
40087411000001104,powderinhalation.inhalation,0302000AAAAACAC
40455811000001109,powderinhalation.inhalation,0302000N0AABSBS
40455711000001101,powderinhalation.inhalation,0302000N0AABRBR
12197411000001102,inhalationsolution.inhalation,0301020Q0AAACAC
24670111000001108,inhalationsolution.inhalation,0301011Z0AAAAAA
29987211000001108,inhalationsolution.inhalation,0301040X0AAAAAA
37692711000001105,inhalationsolution.inhalation,0301020Q0AAAEAE
37692511000001100,inhalationsolution.inhalation,0301040X0AAABAB
37692311000001106,inhalationsolution.inhalation,0301011Z0AAABAB
