vmp_code,form_descr,bnf_code
39113611000001102,pressurizedinhalation.inhalation,0301011R0AAAPAP
36049211000001106,pressurizedinhalation.inhalation,0301020I0AAAGAG
36049311000001103,pressurizedinhalation.inhalation,0301020I0AAAAAA
39110811000001105,pressurizedinhalation.inhalation,0301011U0AAACAC
35926711000001101,pressurizedinhalation.inhalation,0303010Q0AAABAB
35926611000001105,pressurizedinhalation.inhalation,0303010Q0AAAHAH
36049411000001105,pressurizedinhalation.inhalation,0301020I0AAADAD
39110911000001100,pressurizedinhalation.inhalation,0302000N0AABHBH
39111011000001108,pressurizedinhalation.inhalation,0302000N0AABEBE
39111111000001109,pressurizedinhalation.inhalation,0302000N0AABFBF
39111211000001103,pressurizedinhalation.inhalation,0302000N0AABABA
39111311000001106,pressurizedinhalation.inhalation,0302000N0AABGBG
39111411000001104,pressurizedinhalation.inhalation,0302000N0AABCBC
36066611000001106,pressurizedinhalation.inhalation,0301040M0AAAAAA
35912511000001101,pressurizedinhalation.inhalation,0302000K0AAADAD
36022911000001105,pressurizedinhalation.inhalation,0301020P0AAAAAA
36022811000001100,pressurizedinhalation.inhalation,0301020P0AAABAB
36066711000001102,pressurizedinhalation.inhalation,0301040M0AAACAC
35909511000001107,pressurizedinhalation.inhalation,0302000C0AAAAAA
35908111000001105,pressurizedinhalation.inhalation,0302000C0AABFBF
35909611000001106,pressurizedinhalation.inhalation,0302000C0AABEBE
35909311000001101,pressurizedinhalation.inhalation,0302000C0AABGBG
35907911000001107,pressurizedinhalation.inhalation,0302000C0AABHBH
42292311000001106,pressurizedinhalation.inhalation,0302000C0AAABAB
35908511000001101,pressurizedinhalation.inhalation,0302000C0AAARAR
35908811000001103,pressurizedinhalation.inhalation,0302000C0AAACAC
35907811000001102,pressurizedinhalation.inhalation,0302000C0AAATAT
35908611000001102,pressurizedinhalation.inhalation,0302000C0AAAUAU
39112711000001103,pressurizedinhalation.inhalation,0301011R0AABUBU
35926311000001100,pressurizedinhalation.inhalation,0303010Q0AAAIAI
35912811000001103,pressurizedinhalation.inhalation,0302000K0AAAAAA
39113111000001105,pressurizedinhalation.inhalation,0301011V0AAAAAA
35916111000001109,pressurizedinhalation.inhalation,0301011V0AAAFAF
35936211000001105,pressurizedinhalation.inhalation,0302000C0AAANAN
35936411000001109,pressurizedinhalation.inhalation,0301011R0AAADAD
35936311000001102,pressurizedinhalation.inhalation,0301040R0AAAAAA
35936511000001108,pressurizedinhalation.inhalation,0301011R0AAAAAA
35909211000001109,pressurizedinhalation.inhalation,0302000C0AAASAS
42296711000001109,pressurizedinhalation.inhalation,0303010J0AAABAB
4161311000001109,pressurizedinhalation.inhalation,0303010Q0AAAJAJ
36030411000001101,pressurizedinhalation.inhalation,0303010J0AAACAC
35926411000001107,pressurizedinhalation.inhalation,0303010Q0AAAKAK
4558411000001107,pressurizedinhalation.inhalation,0301011F0AAAAAA
36059111000001102,pressurizedinhalation.inhalation,0302000N0AAAGAG
4864911000001104,pressurizedinhalation.inhalation,0302000K0AAATAT
38894511000001107,pressurizedinhalation.inhalation,0301020I0AAANAN
9004511000001107,pressurizedinhalation.inhalation,0302000U0AAAAAA
9004411000001108,pressurizedinhalation.inhalation,0302000U0AAABAB
9652711000001107,pressurizedinhalation.inhalation,0301011E0AAADAD
9720211000001107,pressurizedinhalation.inhalation,0303010J0AAADAD
10075611000001101,pressurizedinhalation.inhalation,0301011U0AAAHAH
10514511000001106,pressurizedinhalation.inhalation,0301012A0AAABAB
10525011000001107,pressurizedinhalation.inhalation,0301012A0AAACAC
10621011000001101,pressurizedinhalation.inhalation,0302000C0AABVBV
10621111000001100,pressurizedinhalation.inhalation,0302000C0AABWBW
12911011000001100,pressurizedinhalation.inhalation,0302000C0AABXBX
13801911000001104,pressurizedinhalation.inhalation,0303010Q0AAANAN
14959511000001107,pressurizedinhalation.inhalation,0302000K0AAAZAZ
15374611000001106,pressurizedinhalation.inhalation,0302000K0AABABA
21113711000001102,pressurizedinhalation.inhalation,0302000N0AABJBJ
21113811000001105,pressurizedinhalation.inhalation,0302000N0AABKBK
21113911000001100,pressurizedinhalation.inhalation,0302000N0AABLBL
28422511000001101,pressurizedinhalation.inhalation,0301040M0AAADAD
31087411000001106,pressurizedinhalation.inhalation,0302000C0AABZBZ
32960711000001105,pressurizedinhalation.inhalation,0302000K0AABBBB
34683311000001106,pressurizedinhalation.inhalation,0302000AAAAAAAA
35647511000001107,pressurizedinhalation.inhalation,0302000N0AABPBP
35647611000001106,pressurizedinhalation.inhalation,0302000N0AABQBQ
39133611000001108,pressurizedinhalation.inhalation,0302000K0AABCBC
39343511000001103,pressurizedinhalation.inhalation,0302000Y0AAAAAA
39343611000001104,pressurizedinhalation.inhalation,0301040AAAAAAAA
40766811000001104,pressurizedinhalation.inhalation,0302000AAAAABAB
35936711000001103,powderinhalation.inhalation,0301011R0AAAIAI
35938011000001101,powderinhalation.inhalation,0301011U0AAABAB
35936911000001101,powderinhalation.inhalation,0301011R0AAAJAJ
35937811000001108,powderinhalation.inhalation,0301011U0AAAAAA
