HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,first_period,last_period,n_active_months
RKE00,THE WHITTINGTON HEALTH NHS TRUST,201612,202509,106
RKL00,WEST LONDON NHS TRUST,201612,202509,106
RL100,ROBERT JONES & AGNES HUNT HPL NHS TRUST,201612,202509,106
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,201612,202509,106
RLQ00,WYE VALLEY NHS TRUST,201612,202509,106
RLT00,GEORGE ELIOT HOSPITAL NHS TRUST,201612,202509,106
RLY00,NORTH STAFFS COMBINED HEALTHCARE TRUST,201612,202509,106
RM100,NORFOLK & NORWICH UNIVERSITY HPL NHS TRT,201612,202509,106
RM300,SALFORD ROYAL NHS FOUNDATION TRUST,201612,202509,106
RMC00,BOLTON NHS FT,201612,202509,106
RMP00,TAMESIDE & GLOSSOP INTEGRATED CARE NHSFT,201612,202509,106
RMY00,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,201612,202509,106
RN300,GREAT WESTERN HPL NHS FOUNDATION TRUST,201612,202509,106
RN500,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,201612,202509,106
RN700,DARTFORD AND GRAVESHAM NHS TRUST,201612,202509,106
RNA00,DUDLEY GROUP NHS FOUNDATION TRUST,201612,202509,106
RNK00,TAVISTOCK & PORTMAN NHS FOUNDATION TRUST,201612,202509,106
RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FT,201612,202509,106
RNQ00,KETTERING GENERAL HOSP FOUNDATION TRUST,201612,202509,106
RNS00,NORTHAMPTON GENERAL HOSP TRUST,201612,202509,106
RNU00,OXFORD HEALTH NHS FOUNDATION TRUST,201612,202509,106
RNZ00,SALISBURY NHS FOUNDATION TRUST,201612,202509,106
RP100,NORTHAMPTONSHIRE HC NHS FOUNDATION TRUST,201612,202509,106
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,201612,202509,106
RP600,MOORFIELDS EYE HOSPITAL NHS FT,201612,202509,106
RP700,LINCOLNSHIRE PSHIP NHS FOUNDATION TRUST,201612,202509,106
RPA00,MEDWAY NHS FOUNDATION TRUST,201612,202509,106
RPC00,QUEEN VICTORIA HPL NHS FOUNDATION TRUST,201612,202509,106
RPG00,OXLEAS NHS FOUNDATION TRUST,201612,202509,106
RPY00,THE ROYAL MARSDEN NHS FOUNDATION TRUST,201612,202509,106
RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT,201612,202509,106
RQM00,CHELSEA & WESTMINSTER HOSPITAL NHS FT,201612,202509,106
RQW00,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,201612,202509,106
RQX00,HOMERTON UNIV HPL NHS FOUNDATION TRUST,201612,202509,106
RQY00,SOUTH WEST LONDON & ST GEORGES M/H TRUST,201612,202509,106
RR700,GATESHEAD HEALTH NHS FOUNDATION TRUST,201612,202509,106
RR800,LEEDS TEACHING HPLS NHS TRUST,201612,202509,106
RRE00,MIDLANDS P/SHIP NHS FOUNDATION TRUST,201612,202509,106
RRF00,WWL NHS FOUNDATION TRUST,201612,202509,106
RRK00,UNIV HPL B/HAM NHS FOUNDATION TRUST,201612,202509,106
RRV00,UNIVERSITY COLLEGE LONDON FOUNDATION TR,201612,202509,106
RT100,CAMBRIDGESHIRE & PETERBOROUGH NHS FT,201612,202509,106
RT200,PENNINE CARE NHS FOUNDATION TRUST,201612,202509,106
RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,201612,202509,106
RTD00,THE NEWCASTLE UPON TYNE HPL NHS FOUND TR,201612,202509,106
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,201612,202509,106
RTF00,NORTHUMBRIA H/CARE NHS FOUNDATION TRUST,201612,202509,106
RTG00,DERBY TEACHING HOSPITALS NHS FOUND TRUST,201612,202509,106
RTH00,OXFORD UNIVERSITY HOSPITALS NHS FT,201612,202509,106
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,201612,202509,106
RTP00,SURREY AND SUSSEX HEALTHCARE NHS TRUST,201612,202509,106
RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FT,201612,202509,106
RTR00,SOUTH TEES HOSP NHS FOUNDATION TRUST,201612,202509,106
RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY,201612,202509,106
RV300,CTRL & N W LONDON NHS FOUNDATION TRUST,201612,202509,106
RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,201612,202509,106
RV900,HUMBER TEACHING NHS FOUNDATION TRUST,201612,202509,106
RVJ00,NORTH BRISTOL NHS TRUST,201612,202509,106
RVN00,AVON & WILTSHIRE MENTAL HLTH P/SHIP TRST,201612,202509,106
RVR00,EPSOM & ST HELIER UNIV HPLS NHS TRUST,201612,202509,106
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,201612,202509,106
RVW00,NTH TEES&HARTLEPOOL NHS FOUNDATION TRUST,201612,202509,106
RW100,SOUTHERN HEALTH NHS FOUNDATION TRUST,201612,202509,106
RW400,MERSEY CARE NHS FOUNDATION TRUST,201612,202509,106
RW500,LANCASHIRE & SOUTH CUMBRIA NHS FT,201612,202509,106
RW600,PENNINE ACUTE HOSPITALS NHS TRUST,201612,202509,106
RWA00,HULL UNIVERSITY TEACHING HPLS NHS TRUST,201612,202509,106
RWD00,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,201612,202509,106
RWE00,UNIVERSITY HPLS OF LEICESTER NHS TRUST,201612,202509,106
RWF00,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,201612,202509,106
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,201612,202509,106
RWH00,EAST AND NORTH HERTFORDSHIRE NHS TRUST,201612,202509,106
RWJ00,STOCKPORT NHS FOUNDATION TRUST,201612,202509,106
RWK00,EAST LONDON NHS FOUNDATION TRUST,201612,202509,106
RWP00,WORCESTERSHIRE ACUTE HPLS NHS TRUST,201612,202509,106
RWR00,HERTFORDSHIRE P/SHIP UNIVERSITY NHS FT,201612,202509,106
RWV00,DEVON PARTNERSHIP NHS TRUST,201612,202509,106
RWW00,WARRINGTON & HALTON HPLS FOUNDATION TR,201612,202509,106
RWX00,BERKSHIRE HEALTHCARE NHS FT,201612,202509,106
RWY00,CALDERDALE & HUDDERSFIELD NHS FOUND TR,201612,202509,106
RX100,NOTTINGHAM UNIVERSITY HOSPITALS TRUST,201612,202509,106
RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,201612,202509,106
RX300,TEES ESK & WEAR VALLEYS NHS FOUND TRUST,201612,202509,106
RX400,CUMBRIANORTHUMBERLANDTYNE&WEAR NHS FT,201612,202509,106
RXA00,CHESHIRE & WIRRAL P/S NHS FOUNDATION TR,201612,202509,106
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,201612,202509,106
RXE00,RDASH NHS FOUNDATION TRUST,201612,202509,106
RXF00,MID YORKSHIRE HOSPITALS NHS TRUST,201612,202509,106
RXG00,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FT,201612,202509,106
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,201612,202509,106
RXL00,BLACKPOOL TEACHING HOSP NHS FOUND TRUST,201612,202509,106
RXM00,DERBYSHIRE HEALTHCARE NHS FT,201612,202509,106
RXN00,LANCASHIRE T/ING HSP NHS FOUNDATION TRUS,201612,202509,106
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,201612,202509,106
RXQ00,BUCKINGHAMSHIRE HOSPITALS NHS TRUST,201612,202509,106
RXR00,EAST LANCASHIRE HOSPITALS NHS TRUST,201612,202509,106
RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,201612,202509,106
RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FT,201612,202509,106
RXW00,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,201612,202509,106
RXX00,SURREY AND BORDERS PARTNERSHIP NHS FT,201612,202509,106
RXY00,KENT & MEDWAY NHS & SOC CARE PSHIP TRUST,201612,202509,106
RY500,LINCOLNSHIRE COMM HEALTH SERV NHS TRUST,201612,202509,106
RY800,DERBYSHIRE COMM HLTH SERVICES NHS TRUST,201612,202509,106
RYJ00,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,201612,202509,106
RYR00,WESTERN SUSSEX HOSPITALS NHS FOUND TRUST,201612,202509,106
RYV00,CAMBS COMMUNITY SERVICES NHS TRUST,201612,202509,106
RYY00,KENT COMMUNITY HEALTH NHS FT,201612,202509,106
Y999666,UNIDENTIFIED TRUST,201612,202509,106
RAN00,ROYAL NATIONAL ORTHO.HOSPITAL TRUST,201612,202509,104
RRP00,BARNET ENFIELD & HARINGEY MH TRUST,201612,202504,101
RYK00,DUDLEY&WALSALL MH PARTNERSHIP NHS TRUST,201612,202503,100
RRQ00,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,201612,202501,98
RAP00,NORTH MIDDLESEX UNIVERSITY HPL NHS TRUST,201612,202412,97
R1C00,THE SOLENT NHS TRUST,201612,202409,94
RA400,YEOVIL DISTRICT HPL NHS FOUNDATION TRUST,201612,202407,92
RJ100,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,201612,202509,89
RCE00,BRADFORD DISTRICT CARE NHS FT,201612,202403,88
RK700,SHEFFIELD HEALTH & SOCIAL CARE NHS FT,201612,202403,88
RVY00,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,201612,202312,84
RC100,BEDFORD HOSPITAL NHS TRUST,201612,202310,83
RY600,LEEDS COMMUNITY HEALTHCARE NHS TRUST,201706,202508,82
RDZ00,ROYAL BOURNEMOUTH&XCH HOS FOUNDATION TR,201612,202310,81
RET00,THE WALTON CENTRE NHS FOUNDATION TRUST,201707,202509,81
RQ400,BLACK COUNTRY HEALTHCARE NHS FT,201612,202307,80
RY400,HERTFORDSHIRE COMMUNITY NHS TRUST,201704,202509,79
RMK00,MANCHESTER MH & SOCIAL CARE TRUST,201612,202310,76
R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FT,201907,202509,75
RYW00,BIRMINGHAM COMMUNITY HC FOUNDATION TRUST,201709,202509,74
RTV00,NORTH WEST BOROUGHS HEALTHCARE NHS FT,201612,202302,73
RDD00,BASILDON AND THURROCK UH NHS FOUND.TRUST,201612,202211,72
RQ800,MID ESSEX HOSPITAL SERVICES NHS TRUST,201612,202211,72
RRJ00,ROYAL ORTHOPAEDIC HSP FOUNDATION TRUST,201612,202509,72
RBZ00,NORTHERN DEVON HEALTHCARE,201612,202209,70
RJF00,BURTON HOSPITALS NHS FOUNDATION TRUST,201612,202205,66
R1J00,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,201612,202312,64
RY700,WIRRAL COMMUNITY NHS FOUNDATION TRUST,201612,202504,61
R0D00,UNIVERSITY HOSPITALS DORSET NHS FT,202010,202509,60
R1A00,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,201612,202508,60
RXH00,BRIGHTON & SUSSEX UNIV HOSP NHS TRUST,201612,202110,59
R1H00,BARTS HEALTH NHS TRUST,202101,202509,57
RGC00,WHIPPS CROSS UNIVERSITY HOSP NHS TRUST,201612,202106,55
RNH00,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,201612,202106,55
RNJ00,BARTS AND THE LONDON NHS TRUST,201612,202106,55
RD300,POOLE HOSPITAL NHS FOUNDATION TRUST,201612,202104,53
RY300,NORFOLK COMMUNITY HLTH & CARE NHS TRUST,201612,202509,53
RE900,SOUTH TYNESIDE NHS FOUNDATION TRUST,201612,202204,52
RT300,ROYAL BROMPTON & HAREFIELD NHS FT,201612,202102,51
RBA00,TAUNTON & SOMERSET NHS FOUNDATION TRUST,201612,202008,45
RGQ00,IPSWICH HOSPITAL NHS TRUST,201612,202008,45
RY200,BRIDGEWATER COMM HEALTHCARE NHS TRUST,201807,202506,45
RQ600,ROYAL L'POOL & BROADGREEN HPLS UNIV TRUS,201612,202007,44
RNL00,NORTH CUMBRIA UNIV HOSP NHS TRUST,201612,202006,38
RLN00,CITY HOSP SUNDERLAND FOUNDATION TRUST,201612,201912,37
R1E00,STAFFS&STOKE-ON TRENT P/SHIP NHS TRUST,201612,201906,31
RVL00,BARNET AND CHASE FARM HPLS NHS TRUST,201612,201902,27
