HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,product_code,product,chapter,total_items,total_cost
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,10039,7585.696633404361
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0901020G0AA,Folic acid,Nutrition and Blood,10003,9120.696700766053
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0103050P0AA,Omeprazole,Gastro-Intestinal System,7653,50725.89593474257
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,7049,49247.85651142535
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0407010F0AA,Co-codamol,Central Nervous System,6879,23069.843132028127
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,6879,10131.766732719534
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0501012G0AA,Flucloxacillin sodium,Infections,6657,31557.844978510722
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0501013K0AA,Co-amoxiclav,Infections,6581,23378.28171682363
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0202020L0AA,Furosemide,Cardiovascular System,6475,7108.631512145618
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0212000B0AA,Atorvastatin,Cardiovascular System,6079,6842.153537386655
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,1304000G0BB,Dermovate,Skin,5248,33857.49300136827
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0501021L0AA,Cefalexin,Infections,5119,11129.873938011877
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0208020Z0AA,Apixaban,Cardiovascular System,4872,175675.68853549316
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0101021B0BE,Gaviscon,Gastro-Intestinal System,4747,38559.137186631626
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,130201000BB,Proprietary compound emollients,Skin,4662,30268.970249066202
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,,,,4660,134464.18462541763
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,1001010P0AA,Naproxen,Musculoskeletal and Joint Diseases,4447,9092.615174391947
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0106040M0BB,Movicol,Gastro-Intestinal System,4422,50945.87159463657
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,45727,225915.74740520376
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0901020G0AA,Folic acid,Nutrition and Blood,27515,30601.29790194518
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,25888,285566.05632950016
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0501013K0AA,Co-amoxiclav,Infections,19557,67967.23262961472
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,18448,131026.953599204
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1308010Y0BB,Efudix (Sunscreen),Skin,14217,442400.5260359408
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1104010I0BC,Maxitrol,Eye,12697,22790.71108987352
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1104010I0BB,Maxidex,Eye,11900,28126.90870134191
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1001030U0BE,Metoject (Rheumatism),Musculoskeletal and Joint Diseases,11804,1610449.894643563
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0801050P0AA,Hydroxycarbamide,Malignant Disease and Immunosuppression,11550,220018.66249526019
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,0603020T0AA,Prednisolone (Systemic),Endocrine System,45727,225915.74740520376
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,0901020G0AA,Folic acid,Nutrition and Blood,27515,30601.29790194518
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,0103050P0AA,Omeprazole,Gastro-Intestinal System,25888,285566.05632950016
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,0501013K0AA,Co-amoxiclav,Infections,19557,67967.23262961472
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,18448,131026.953599204
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,1308010Y0BB,Efudix (Sunscreen),Skin,14217,442400.5260359408
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,1104010I0BC,Maxitrol,Eye,12697,22790.71108987352
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,1104010I0BB,Maxidex,Eye,11900,28126.90870134191
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,1001030U0BE,Metoject (Rheumatism),Musculoskeletal and Joint Diseases,11804,1610449.894643563
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,0801050P0AA,Hydroxycarbamide,Malignant Disease and Immunosuppression,11550,220018.66249526019
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,15547,85642.96929538359
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,12298,41771.28113876189
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501012G0AA,Flucloxacillin sodium,Infections,10361,49097.45327450967
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,10116,54695.570490037295
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0407010F0AA,Co-codamol,Central Nervous System,8532,20577.500353585663
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501013B0AA,Amoxicillin,Infections,7596,16839.657833461737
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501120L0AA,Ciprofloxacin (Systemic),Infections,5887,45738.667403344516
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,5537,4339.427669499448
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0503021C0AA,Aciclovir (Systemic),Infections,5448,28391.34521134661
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501050B0AA,Clarithromycin,Infections,5163,26788.43528483306
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,5013,11898.816932633774
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,4888,3364.135633589677
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,4846,28935.978355737585
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0501130R0AA,Nitrofurantoin,Infections,4575,47173.887799072916
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0407020Q0BC,Oramorph,Central Nervous System,4396,10436.244249108702
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0208020Z0AA,Apixaban,Cardiovascular System,4166,128752.81966328446
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,4062,5618.979926505899
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,1001010P0AA,Naproxen,Musculoskeletal and Joint Diseases,3900,10595.148044459469
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0401020K0AA,Diazepam,Central Nervous System,3821,2216.943241265125
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,0209000C0AA,Clopidogrel,Cardiovascular System,3730,5922.031890803019
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,35014,123715.88525774571
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501013K0AA,Co-amoxiclav,Infections,31115,111791.52062366439
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,28470,123842.71517354347
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0407020C0AA,Codeine phosphate (Analgesic),Central Nervous System,23514,30211.224010216192
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0901020G0AA,Folic acid,Nutrition and Blood,22338,26725.401966950238
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501013B0AA,Amoxicillin,Infections,21178,43186.454879367426
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,19011,23703.727460381226
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0407010F0AA,Co-codamol,Central Nervous System,15598,47110.92427348624
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501012G0AA,Flucloxacillin sodium,Infections,15281,51008.529754235205
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,14105,87386.42866378294
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,13582,8070.570649513209
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,1001010P0AA,Naproxen,Musculoskeletal and Joint Diseases,10653,35684.99038593947
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501130R0AA,Nitrofurantoin,Infections,10450,116386.28981837591
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0601022B0AA,Metformin hydrochloride,Endocrine System,10330,23064.351343555143
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,10237,35539.4265301112
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0501080W0AA,Trimethoprim,Infections,10179,22448.823631928244
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,1306020J0AA,Isotretinoin (Systemic),Skin,10090,365326.8183160581
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,9556,9349.28009534173
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0212000B0AA,Atorvastatin,Cardiovascular System,9174,7335.1065214363725
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,0906040G0AA,Colecalciferol,Nutrition and Blood,8599,81141.63267262571
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,25305,122952.84522407735
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,15968,74260.20810550496
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0901020G0AA,Folic acid,Nutrition and Blood,9646,13848.300688644484
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1304000G0BB,Dermovate,Skin,9277,46826.829500573964
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,21300000111,Hylo-Forte 0.2% eye drops preservative free,Appliances,9105,109834.82489044798
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,8483,5819.977700429856
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,8224,44440.289507066555
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1104010R0BB,Pred Forte,Eye,7631,24517.523898602038
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0501013K0AA,Co-amoxiclav,Infections,6955,28510.63085714992
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,6446,30990.73649950805
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0603020T0AA,Prednisolone (Systemic),Endocrine System,25305,122952.84522407735
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0103050P0AA,Omeprazole,Gastro-Intestinal System,15968,74260.20810550496
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0901020G0AA,Folic acid,Nutrition and Blood,9646,13848.300688644484
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,1304000G0BB,Dermovate,Skin,9277,46826.829500573964
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,21300000111,Hylo-Forte 0.2% eye drops preservative free,Appliances,9105,109834.82489044798
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,8483,5819.977700429856
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,8224,44440.289507066555
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,1104010R0BB,Pred Forte,Eye,7631,24517.523898602038
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0501013K0AA,Co-amoxiclav,Infections,6955,28510.63085714992
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,6446,30990.73649950805
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,25277,134954.8130393035
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,21051,124666.55517630736
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0901020G0AA,Folic acid,Nutrition and Blood,20597,31243.811829961982
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0501013K0AA,Co-amoxiclav,Infections,16111,55715.77286356818
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,15131,54362.18778334495
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,14637,10112.406232798245
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,1306020J0AA,Isotretinoin (Systemic),Skin,10815,299466.6823930806
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,10701,15928.938911931757
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0906040G0AA,Colecalciferol,Nutrition and Blood,10643,153796.41630814108
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,10475,18734.06422521302
RPA00,MEDWAY NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,18687,92708.28896363174
RPA00,MEDWAY NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,15574,162340.16202328296
RPA00,MEDWAY NHS FOUNDATION TRUST,0501013K0AA,Co-amoxiclav,Infections,10314,37987.80862089059
RPA00,MEDWAY NHS FOUNDATION TRUST,0901020G0AA,Folic acid,Nutrition and Blood,7974,8294.051700776847
RPA00,MEDWAY NHS FOUNDATION TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,6680,48844.317155774865
RPA00,MEDWAY NHS FOUNDATION TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,6208,19902.74812561703
RPA00,MEDWAY NHS FOUNDATION TRUST,0101021B0BE,Gaviscon,Gastro-Intestinal System,5998,64068.57493612038
RPA00,MEDWAY NHS FOUNDATION TRUST,0501120L0AA,Ciprofloxacin (Systemic),Infections,5658,22644.464244977786
RPA00,MEDWAY NHS FOUNDATION TRUST,,,,5310,228180.83273706018
RPA00,MEDWAY NHS FOUNDATION TRUST,1202010W0BB,Avamys,"Ear, Nose and Oropharynx",5299,38355.50078035937
RPA00,MEDWAY NHS FOUNDATION TRUST,0704010U0AA,Tamsulosin hydrochloride,"Obstetrics, Gynaecology and Urinary-Tract Disorders",4709,18583.96445164345
RPA00,MEDWAY NHS FOUNDATION TRUST,0407020C0AA,Codeine phosphate (Analgesic),Central Nervous System,4660,7957.016744291591
RPA00,MEDWAY NHS FOUNDATION TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,4476,12870.48246679484
RPA00,MEDWAY NHS FOUNDATION TRUST,0501021L0AA,Cefalexin,Infections,4244,10282.348221772869
RPA00,MEDWAY NHS FOUNDATION TRUST,0403010B0AA,Amitriptyline hydrochloride,Central Nervous System,4186,7048.806182194036
RPA00,MEDWAY NHS FOUNDATION TRUST,0602010V0AA,Levothyroxine sodium,Endocrine System,3840,16159.162930990102
RPA00,MEDWAY NHS FOUNDATION TRUST,0501110C0AA,Metronidazole (Systemic),Infections,3836,23725.80722713586
RPA00,MEDWAY NHS FOUNDATION TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,3811,3276.71271587642
RPA00,MEDWAY NHS FOUNDATION TRUST,0501080W0AA,Trimethoprim,Infections,3597,8892.805094743535
RPA00,MEDWAY NHS FOUNDATION TRUST,0906040G0BN,Adcal-D3,Nutrition and Blood,3584,17564.528552456253
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1103010C0AA,Chloramphenicol (Eye),Eye,54371,279840.6884892134
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,43693,209228.99855441807
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,21300000182,Thealoz Duo eye drops preservative free,Appliances,38165,562979.8867549454
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,21300000111,Hylo-Forte 0.2% eye drops preservative free,Appliances,34090,441201.9165153796
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,31837,96365.23943420134
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,30787,44318.896734644004
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,27857,193033.5536111381
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0407010F0AA,Co-codamol,Central Nervous System,27747,58811.21860926468
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,22952,40020.060777950486
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1104010I0BH,Dexafree,Eye,22784,727351.735012471
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,1103010C0AA,Chloramphenicol (Eye),Eye,54371,279840.6884892134
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,43693,209228.99855441807
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,21300000182,Thealoz Duo eye drops preservative free,Appliances,38165,562979.8867549454
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,21300000111,Hylo-Forte 0.2% eye drops preservative free,Appliances,34090,441201.9165153796
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,0501013K0AA,Co-amoxiclav,Infections,31837,96365.23943420134
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,30787,44318.896734644004
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,27857,193033.5536111381
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,0407010F0AA,Co-codamol,Central Nervous System,27747,58811.21860926468
