HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,product_code,product,chapter,total_items,total_cost
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0603020T0AA,Prednisolone (Systemic),Endocrine System,16044,72119.86096534705
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1104010I0BB,Maxidex,Eye,9144,17440.207243861405
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1306020J0AA,Isotretinoin (Systemic),Skin,9011,330335.06429931644
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0501013K0AA,Co-amoxiclav,Infections,7325,25901.737682000603
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1308010Y0BB,Efudix (Sunscreen),Skin,7190,223471.33940333995
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0103050P0AA,Omeprazole,Gastro-Intestinal System,7100,75695.23430360128
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,6612,4551.777996131215
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0103050L0AA,Lansoprazole,Gastro-Intestinal System,6136,8726.939194164366
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0901020G0AA,Folic acid,Nutrition and Blood,5970,6489.451739325784
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0501012G0AA,Flucloxacillin sodium,Infections,5873,31183.088992009114
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,5549,42434.49753764131
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,130201000BB,Proprietary compound emollients,Skin,4414,28290.44782132555
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0501013B0AA,Amoxicillin,Infections,4370,7575.248206067517
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1304000G0BB,Dermovate,Skin,4147,22747.521888775038
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0209000C0AA,Clopidogrel,Cardiovascular System,4118,5615.622626114317
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1103010C0AA,Chloramphenicol (Eye),Eye,3806,20759.930060214076
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0212000B0AA,Atorvastatin,Cardiovascular System,3792,5108.53906478541
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1304000Y0BB,Elocon,Skin,3629,34613.86299478987
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,1202010W0BB,Avamys,"Ear, Nose and Oropharynx",3471,26246.376341964835
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,0501130R0AA,Nitrofurantoin,Infections,3463,40076.0526851973
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,25277,134954.8130393035
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,21051,124666.55517630736
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0901020G0AA,Folic acid,Nutrition and Blood,20597,31243.811829961982
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0501013K0AA,Co-amoxiclav,Infections,16111,55715.77286356818
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,15131,54362.18778334495
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,14637,10112.406232798245
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1306020J0AA,Isotretinoin (Systemic),Skin,10815,299466.6823930806
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,10701,15928.938911931757
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0906040G0AA,Colecalciferol,Nutrition and Blood,10643,153796.41630814108
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,10475,18734.06422521302
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0603020T0AA,Prednisolone (Systemic),Endocrine System,23525,102018.30843162801
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0901020G0AA,Folic acid,Nutrition and Blood,21806,21155.058305862905
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,21727,125722.65161564054
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,1306020J0AA,Isotretinoin (Systemic),Skin,16847,571534.1289078413
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0501013K0AA,Co-amoxiclav,Infections,14222,56601.399704884614
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0103050P0AA,Omeprazole,Gastro-Intestinal System,10357,195492.21579445057
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0501013B0AA,Amoxicillin,Infections,7935,30308.103122081782
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,7446,29761.455520452604
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,1305020A0AA,Acitretin,Skin,7386,542743.860183743
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0501012G0AA,Flucloxacillin sodium,Infections,7046,39511.44911145528
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0407020C0AA,Codeine phosphate (Analgesic),Central Nervous System,6912,13004.833852951082
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,6476,4677.1329079505
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0103050L0AA,Lansoprazole,Gastro-Intestinal System,6460,14725.898215463038
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,130201000BB,Proprietary compound emollients,Skin,6398,41413.52917457962
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,,,,6095,238535.17400271926
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0603020G0AA,Dexamethasone (Systemic),Endocrine System,6051,55246.825887450235
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,1304000G0BB,Dermovate,Skin,5200,32702.489421453727
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0802010G0AA,Azathioprine,Malignant Disease and Immunosuppression,4399,29680.382168010798
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0208020Z0AA,Apixaban,Cardiovascular System,4294,176101.3046591993
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,0106040M0BB,Movicol,Gastro-Intestinal System,4277,45953.34880466728
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0103050L0AA,Lansoprazole,Gastro-Intestinal System,14557,31910.7402864344
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,0603020T0AA,Prednisolone (Systemic),Endocrine System,11576,53792.53516447668
