PERIOD,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,total_items,total_actual_cost
202509,RRE00,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,20052,361488.29998000007
202509,RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,15013,217872.72058999958
202509,RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13559,312812.5238299994
202509,RX300,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,12707,178704.99135999967
202509,RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12320,299915.8151200003
202509,RYR00,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,10443,179449.78334000043
202509,RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,10087,219502.30996999974
202509,RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,10065,177348.48458999992
202509,RX400,CUMBRIANORTHUMBERLANDTYNE AND WEAR NHS FOUNDATION TRUST,9688,194216.06286000003
202509,RK500,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9121,106754.05286999981
202509,RW500,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,8599,99958.52201000002
202509,RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,8515,206679.90759000005
202509,RF400,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,8160,165530.77835000044
202509,RXW00,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,7772,107396.48494999982
202509,RDY00,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,7769,97002.7330300001
202509,RV500,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,7256,121570.12154
202509,RW100,HAMPSHIRE & IOW HEALTHCARE NHS F TRUST,7227,123714.22647999982
202509,RV300,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,6757,100756.55221000005
202509,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,6189,194917.86660000012
202509,RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,6158,246164.83506
202509,RAJ00,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,6108,117847.25099000006
202509,RWR00,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,6097,117949.39705000007
202509,RH500,SOMERSET NHS FOUNDATION TRUST,6066,173041.26444000044
202509,RPA00,MEDWAY NHS FOUNDATION TRUST,5869,149671.8218800001
202509,RXP00,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,5813,208010.55019999985
202509,RVW00,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5580,36016.95120000004
202509,RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,5309,96210.05881
202509,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,5252,92514.19895000003
202509,R0A00,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,5003,94307.81237000004
202509,RP500,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,5000,82751.79921000004
202509,RMC00,BOLTON NHS FOUNDATION TRUST,4877,52896.579670000036
202509,RRK00,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4805,76270.28142000003
202509,RWK00,EAST LONDON NHS FOUNDATION TRUST,4785,70804.13263999995
202509,RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,4720,71722.99280000002
202509,RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,4712,108485.40701999998
202509,RCB00,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,4654,72100.90582000003
202509,RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4622,111123.41093
202509,RXX00,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,4522,86214.3245199999
202509,RVJ00,NORTH BRISTOL NHS TRUST,4360,155110.2727400002
202509,RLQ00,WYE VALLEY NHS TRUST,4346,78431.05864
202509,RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,4115,73412.03010999993
202509,RNU00,OXFORD HEALTH NHS FOUNDATION TRUST,4112,90666.66331000006
202509,RWE00,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,3861,91892.68304000009
202509,RPG00,OXLEAS NHS FOUNDATION TRUST,3860,113567.61802999993
202509,RWP00,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,3682,76208.43387000002
202509,RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,3545,94712.9278200001
202509,RTG00,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,3451,47109.247550000095
202509,RNS00,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,3442,32937.044040000015
202509,RCX00,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,3413,42178.57880999994
202509,RJE00,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3384,19590.428940000023
202509,RWH00,EAST AND NORTH HERTFORDSHIRE NHS TRUST,3341,31394.98540999998
202509,RVN00,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,3293,54562.81054999997
202509,RBK00,WALSALL HEALTHCARE NHS TRUST,3275,124012.91180000037
202509,RQW00,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,3211,88651.43527
202509,RTH00,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3139,96037.18489000014
202509,RXG00,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,3041,44917.087150000014
202509,RT200,PENNINE CARE NHS FOUNDATION TRUST,3025,68211.35823000001
202509,RWV00,DEVON PARTNERSHIP NHS TRUST,3020,142519.18497999993
202509,RWF00,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2946,42896.019180000025
202509,RQX00,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2885,36071.08300999998
202509,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,2821,24518.876720000015
202509,RNQ00,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,2796,62900.13337999999
202509,RWA00,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2710,25363.697849999982
202509,RD800,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2700,36564.06104999997
202509,RBD00,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,2693,50307.30084000006
202509,RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,2681,13573.406300000008
202509,TAJ00,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,2630,49913.07813999994
202509,RTF00,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2600,49784.42447999997
202509,RXY00,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,2586,23931.344049999985
202509,REM00,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2578,39897.76060000005
202509,RGN00,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2459,58231.631700000005
202509,RJL00,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2414,20695.264430000025
202509,RW400,MERSEY CARE NHS FOUNDATION TRUST,2372,18274.014780000012
202509,R1F00,ISLE OF WIGHT NHS TRUST,2364,47943.11336000001
202509,RXL00,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2349,53518.38639000003
202509,RDE00,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2209,18854.435850000016
202509,RBL00,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2203,46259.54997999999
202509,RRF00,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,2202,14189.382029999993
202509,RMP00,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,2197,8092.591610000005
202509,RBS00,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2175,128249.31913999996
202509,RHW00,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2054,33183.834969999996
202509,RHM00,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2008,13051.250339999993
202509,RGP00,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1995,30588.21890999996
202509,RN700,DARTFORD AND GRAVESHAM NHS TRUST,1993,29925.99601999996
202509,RHU00,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1979,45871.50567
202509,RJR00,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1947,72165.47506
202509,RBT00,THE MID CHESHIRE HOSPITALS NHS TRUST,1935,49908.27757999995
202509,RY500,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,1921,10813.723369999989
202509,RFR00,THE ROTHERHAM NHS FOUNDATION TRUST,1896,16038.181579999982
202509,RWD00,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1868,16629.752010000004
202509,RJ800,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,1801,21801.026359999985
202509,RVR00,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1783,186347.63535000035
202509,RN500,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1719,35161.58127999997
202509,RTD00,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1682,38336.36458999999
202509,RMY00,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,1533,30989.725150000035
202509,RQY00,SOUTH WEST LONDON & ST GEORGES M/H TRUST,1532,33803.73802999999
202509,RP100,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,1503,23686.78980999999
202509,RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1473,28940.815840000007
202509,RGD00,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,1344,22093.514480000016
202509,RWX00,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,1303,72757.45046999994
202509,TAD00,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,1292,16050.038929999995
202509,RV900,HUMBER TEACHING NHS FOUNDATION TRUST,1289,32156.943750000006
202509,RT100,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,1269,18280.918640000033
202509,RTP00,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1227,16628.261089999985
202509,RKB00,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1223,15771.549939999999
202509,RM300,NORTHERN CARE ALLIANCE NHS FT,1211,21368.004840000005
202509,RRV00,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1183,22195.126569999982
202509,RKL00,WEST LONDON NHS TRUST,1177,21228.141309999985
202509,RNA00,THE DUDLEY GROUP NHS FOUNDATION TRUST,1174,9242.25982999999
202509,RAL00,ROYAL FREE LONDON NHS FOUNDATION TRUST,1121,102770.45469000007
202509,R1H00,BARTS HEALTH NHS TRUST,1050,15285.966499999979
202509,RA900,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1018,17264.143839999975
202509,RX100,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,995,41308.27857999999
202509,RN300,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,966,13545.137140000019
202509,REF00,ROYAL CORNWALL HOSPITALS NHS TRUST,945,12018.005350000012
202509,RD100,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,909,17508.60752
202509,TAH00,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,889,10883.900429999992
202509,RA700,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,878,8313.007380000003
202509,RTR00,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,832,30888.349060000015
202509,RXQ00,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,817,9180.118069999988
202509,RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,745,6098.348299999993
202509,RL100,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,708,3287.4775000000013
202509,RCU00,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,703,47816.50534999997
202509,RBN00,MERSEY & WEST LANCS TEACH HOSP NHST,695,15906.873699999995
202509,R1K00,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,694,5582.737649999998
202509,RK900,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,693,12494.191349999986
202509,RFS00,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,669,11363.331859999995
202509,RJC00,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,622,25007.01229999999
202509,RWJ00,STOCKPORT NHS FOUNDATION TRUST,620,5217.045079999996
202509,RHQ00,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,614,13655.147859999985
202509,R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,595,8628.568400000004
202509,R0D00,UNIVERSITY HOSPITALS DORSET NHS FT,595,5384.4889200000025
202509,RR800,LEEDS TEACHING HOSPITALS NHS TRUST,583,19664.223010000005
202509,RCD00,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,576,5963.587770000001
202509,RXR00,EAST LANCASHIRE HOSPITALS NHS TRUST,559,7959.023419999999
202509,RH800,ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,542,32213.39036999998
202509,RGT00,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,503,25238.678740000003
202509,RJ700,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,432,9061.705150000003
202509,RP700,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,411,2829.61459
202509,RQ300,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,403,17646.37692
202509,RJZ00,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,389,11648.277759999988
202509,RKE00,WHITTINGTON HEALTH NHS TRUST,362,10742.552330000002
202509,RXN00,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,323,22522.43484999998
202509,RGR00,WEST SUFFOLK NHS FOUNDATION TRUST,322,5209.863879999999
202509,RR700,GATESHEAD HEALTH NHS FOUNDATION TRUST,255,4309.819480000001
202509,RAE00,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,252,5634.30573
202509,RA200,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,249,1696.4551500000002
202509,Y999666,UNIDENTIFIED TRUST,248,6480.4427000000005
202509,RJ600,CROYDON HEALTH SERVICES NHS TRUST,217,13739.856130000004
202509,RJ200,LEWISHAM AND GREENWICH NHS TRUST,216,1513.6933299999994
202509,RYJ00,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,204,21886.90514
202509,RNZ00,SALISBURY NHS FOUNDATION TRUST,200,5648.615220000002
202509,RWW00,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,190,2910.4976400000005
202509,RDR00,SUSSEX COMMUNITY NHS FOUNDATION TRUST,189,1317.9481199999998
202509,RM100,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,174,3014.8358100000005
202509,RXF00,MID YORKSHIRE TEACHING NHS TRUST,169,4330.035929999998
202509,RQM00,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,162,5970.860179999999
202509,REN00,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,157,1542.6391200000003
202509,RAS00,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,144,1720.8926299999996
202509,RNK00,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,140,2029.9741700000004
202509,RLT00,GEORGE ELIOT HOSPITAL NHS TRUST,97,3410.320279999999
202509,RGM00,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,92,12341.992419999999
202509,R1D00,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,88,2942.446539999999
202509,RXM00,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,77,8316.04313
202509,REP00,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,67,2091.0228399999996
202509,RET00,THE WALTON CENTRE NHS FOUNDATION TRUST,58,2039.77096
202509,RCF00,AIREDALE NHS FOUNDATION TRUST,58,2069.4688500000007
202509,RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,48,1213.3683599999997
202509,RWY00,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,45,372.20673
202509,RYV00,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,44,542.1206099999999
202509,RY800,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,43,524.8001599999999
202509,RYG00,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,37,506.75094
202509,RJN00,EAST CHESHIRE NHS TRUST,33,581.3590600000001
202509,RP600,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,30,332.18016
202509,RBQ00,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,25,91.91955
202509,RXA00,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,25,157.49235999999993
202509,RAX00,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,23,378.93533
202509,RYY00,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,22,302.5297399999999
202509,RA300,WESTON AREA NHS TRUST,20,88.18814000000003
202509,RJ100,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,19,1491.6365699999997
202509,RLY00,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,14,53.16122
202509,RY400,HERTFORDSHIRE COMMUNITY NHS TRUST,12,89.95085
202509,RYW00,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,11,39.66900999999999
202509,RPC00,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,10,2031.30372
202509,RAN00,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,9,22.983449999999998
202509,RW600,PENNINE ACUTE HOSPITALS NHS TRUST,6,353.67918
202509,RXE00,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,5,99.06259
202509,RY300,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,1,137.58132
202509,RPY00,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1,1.41617
202509,RRJ00,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,1,2.99587
