PERIOD,n_rows
201612,151994
201701,151799
201702,145680
201703,158023
201704,142645
201705,156943
201706,153961
201707,151412
201708,146523
201709,148322
201710,152307
201711,154846
201712,148431
201801,154456
201802,144613
201803,153902
201804,146660
201805,154027
201806,151488
201807,150236
201808,148957
201809,144651
201810,155718
201811,155808
201812,150709
201901,157227
201902,149142
201903,158014
201904,150962
201905,159102
201906,152376
201907,158044
201908,149867
201909,149803
201910,159161
201911,154897
201912,153839
202001,157601
202002,151208
202003,145538
202004,119038
202005,118513
202006,116031
202007,119751
202008,116826
202009,125581
202010,131001
202011,130212
202012,132622
202101,123120
202102,120602
202103,139457
202104,135842
202105,140910
202106,140819
202107,141804
202108,134511
202109,137844
202110,140638
202111,143979
202112,142409
202201,140478
202202,139050
202203,151005
202204,144676
202205,154511
202206,149628
202207,147095
202208,147964
202209,145152
202210,151901
202211,152110
202212,147395
202301,153489
202302,151529
202303,160786
202304,150521
202305,163586
202306,164241
202307,158821
202308,154940
202309,156142
202310,163217
202311,163260
202312,164385
202401,165993
202402,166641
202403,169756
202404,172321
202405,173743
202406,166027
202407,172001
202408,166253
202409,163265
202410,172857
202411,170257
202412,174224
202501,172073
202502,165617
202503,171366
202504,169819
202505,175133
202506,174079
202507,175370
202508,165783
202509,172552
