BNF_CODE,BNF_NAME,total_items,total_actual_cost
0410030C0AAAFAF,Methadone 1mg/ml oral solution sugar free,8363,45128.71808000004
0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,8094,15423.093100000016
0603020T0AAACAC,Prednisolone 5mg tablets,7361,12949.74567999995
0410030C0BFABAF,Physeptone 1mg/ml oral solution sugar free,7131,56519.87280000003
0501012G0AAABAB,Flucloxacillin 500mg capsules,5852,13801.98683999998
0901020G0AAAGAG,Folic acid 5mg tablets,5448,3998.4426299999996
0103050P0AAAAAA,Omeprazole 20mg gastro-resistant capsules,5278,4176.250840000005
0401010ADAAAAAA,Melatonin 2mg modified-release tablets,4887,25857.020689999987
0403030Q0AAAAAA,Sertraline 50mg tablets,4703,3696.9454000000023
0304010W0AAALAL,Promethazine hydrochloride 25mg tablets,4384,6231.220620000011
0501030I0AAABAB,Doxycycline 100mg capsules,4219,8203.129660000017
0401020K0AAAHAH,Diazepam 2mg tablets,4145,1929.9899999999993
0501013B0AAABAB,Amoxicillin 500mg capsules,4083,4390.401559999994
1001030U0AAABAB,Methotrexate 2.5mg tablets,3793,11783.794510000005
0407020C0AAAEAE,Codeine 30mg tablets,3723,4876.37274
0401010Z0AAAAAA,Zopiclone 7.5mg tablets,3609,1493.54384
0407010F0AAAHAH,Co-codamol 30mg/500mg tablets,3288,8745.574850000006
0401020K0AAAIAI,Diazepam 5mg tablets,3276,1369.2208800000008
0402010ADAAADAD,Aripiprazole 5mg tablets,3259,3785.469940000002
0403030Q0AAABAB,Sertraline 100mg tablets,2923,3052.9317499999993
