HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,unique_products
RXW00,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,1850
RQW00,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1821
R1F00,ISLE OF WIGHT NHS TRUST,1811
RGN00,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1789
RHW00,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1770
RVW00,NTH TEES&HARTLEPOOL NHS FOUNDATION TRUST,1765
RTD00,THE NEWCASTLE UPON TYNE HPL NHS FOUND TR,1763
RDY00,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,1762
RCB00,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,1755
RQX00,HOMERTON UNIV HPL NHS FOUNDATION TRUST,1726
RXW00,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,1712
R0A00,MANCHESTER UNIVERSITY NHS FT,1707
RC100,BEDFORD HOSPITAL NHS TRUST,1689
RWE00,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1688
RV900,HUMBER TEACHING NHS FOUNDATION TRUST,1684
RAJ00,SOUTHEND UNIV HOSP NHS FOUNDATION TRUST,1679
RBT00,THE MID CHESHIRE HOSPITALS NHS TRUST,1676
RCB00,YORK TEACHING HOSPITAL NHS FT,1661
RTP00,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1651
RWD00,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,1641
RVJ00,NORTH BRISTOL NHS TRUST,1638
RN700,DARTFORD AND GRAVESHAM NHS TRUST,1633
RK900,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1615
RRK00,UNIV HPL B/HAM NHS FOUNDATION TRUST,1605
RNA00,DUDLEY GROUP NHS FOUNDATION TRUST,1604
RYR00,WESTERN SUSSEX HOSPITALS NHS FOUND TRUST,1596
REF00,ROYAL CORNWALL HOSPITALS NHS TRUST,1591
RBD00,DORSET COUNTY HPL NHS FOUNDATION TRUST,1587
RWP00,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1584
RW100,SOUTHERN HEALTH NHS FOUNDATION TRUST,1562
RDR00,SUSSEX COMMUNITY NHS FOUNDATION TRUST,1551
RWP00,WORCESTERSHIRE ACUTE HPLS NHS TRUST,1550
RTG00,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1546
RNS00,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1537
R0A00,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1534
RLT00,GEORGE ELIOT HOSPITAL NHS TRUST,1529
RVW00,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1526
RCX00,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,1511
RY500,LINCOLNSHIRE COMM HEALTH SERV NHS TRUST,1506
RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,1496
RCX00,QUEEN ELIZABETH HPL KING'S LYNN NHS FT,1487
RNQ00,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1478
RJC00,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1476
RQM00,CHELSEA & WESTMINSTER HOSPITAL NHS FT,1475
RD800,MILTON KEYNES UNIVERSITY HOSPITAL FT,1469
R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FT,1468
RTH00,OXFORD UNIVERSITY HOSPITALS NHS FT,1464
RR800,LEEDS TEACHING HPLS NHS TRUST,1463
RBA00,TAUNTON & SOMERSET NHS FOUNDATION TRUST,1458
RQX00,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1454
RNS00,NORTHAMPTON GENERAL HOSP TRUST,1449
RTF00,NORTHUMBRIA H/CARE NHS FOUNDATION TRUST,1448
RXL00,BLACKPOOL TEACHING HOSP NHS FOUND TRUST,1429
RJE00,UNIVERSITY HPLS NORTH MIDLANDS NHS TRUST,1422
RNQ00,KETTERING GENERAL HOSP FOUNDATION TRUST,1400
RJF00,BURTON HOSPITALS NHS FOUNDATION TRUST,1396
RBD00,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1395
RD100,RUH BATH NHS FOUNDATION TRUST,1394
RJ800,CORNWALL P'SHIP NHS FOUNDATION TRUST,1389
RD800,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1387
RTD00,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1366
RXH00,BRIGHTON & SUSSEX UNIV HOSP NHS TRUST,1365
RJE00,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1364
RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1364
RJR00,COUNTESS OF CHESTER HOSPITAL NHS TRUST,1351
RHU00,PORTSMOUTH HOSPITALS NHS TRUST,1350
RTH00,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1346
RNA00,THE DUDLEY GROUP NHS FOUNDATION TRUST,1343
RA900,TORBAY AND SOUTH DEVON NHS FOUNDATION TR,1334
RGP00,JAMES PAGET UNIV HOSPITALS NHS FT,1334
RWJ00,STOCKPORT NHS FOUNDATION TRUST,1323
RY800,DERBYSHIRE COMM HLTH SERVICES NHS TRUST,1318
RRF00,WWL NHS FOUNDATION TRUST,1316
RGR00,WEST SUFFOLK NHS FOUNDATION TRUST,1315
RGP00,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1315
RAL00,ROYAL FREE LONDON NHS FOUNDATION TRUST,1311
RMC00,BOLTON NHS FOUNDATION TRUST,1310
RJR00,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1304
RGT00,CAMBRIDGE UNIV HOSP NHS FOUNDATION TRUST,1295
RXR00,EAST LANCASHIRE HOSPITALS NHS TRUST,1292
RGC00,WHIPPS CROSS UNIVERSITY HOSP NHS TRUST,1290
RHU00,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1289
RTF00,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1288
RWA00,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1278
RYR00,UNIVERSITY HOSPITALS SUSSEX NHS FT,1260
RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,1254
RJ600,CROYDON HEALTH SERVICES NHS TRUST,1252
RHM00,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FT,1251
RJ800,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,1246
RRK00,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,1246
R1H00,BARTS HEALTH NHS TRUST,1234
REM00,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1230
RN300,GREAT WESTERN HPL NHS FOUNDATION TRUST,1226
RXL00,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1222
RTR00,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1218
RVR00,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1214
RH800,ROYAL DEVON & EXETER NHS FOUNDATION TRST,1212
RDE00,COLCHESTER HOSPITAL UNIVERSITY NHS FT,1198
RA400,YEOVIL DISTRICT HPL NHS FOUNDATION TRUST,1197
RJZ00,KING'S COLLEGE HPL NHS FOUNDATION TRUST,1184
RBN00,ST HELENS & KNOWSLEY HOSPITALS NHS TRUST,1183
RXQ00,BUCKINGHAMSHIRE HOSPITALS NHS TRUST,1161
RJL00,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,1156
RHM00,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,1154
RNJ00,BARTS AND THE LONDON NHS TRUST,1151
RDE00,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1139
RNZ00,SALISBURY NHS FOUNDATION TRUST,1127
RVR00,EPSOM & ST HELIER UNIV HPLS NHS TRUST,1123
RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FT,1118
RH800,ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,1115
RJ200,LEWISHAM AND GREENWICH NHS TRUST,1113
RD100,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1108
RX100,NOTTINGHAM UNIVERSITY HOSPITALS TRUST,1095
RXQ00,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1087
RA900,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1085
RWX00,BERKSHIRE HEALTHCARE NHS FT,1084
RBL00,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1080
RRE00,MIDLANDS P/SHIP NHS FOUNDATION TRUST,1070
RGT00,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1067
RTR00,SOUTH TEES HOSP NHS FOUNDATION TRUST,1062
RN300,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1059
RNN00,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,1057
RKL00,WEST LONDON NHS TRUST,1051
RNU00,OXFORD HEALTH NHS FOUNDATION TRUST,1042
R1J00,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,1040
RX300,TEES ESK & WEAR VALLEYS NHS FOUND TRUST,1031
RBL00,WIRRAL UNIV TEACHING HOSP,1030
RY500,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,1025
RA300,WESTON AREA NHS TRUST,1023
RH500,SOMERSET P/SHIP NHS FOUNDATION TRUST,1018
RYJ00,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1018
RCU00,SHEFFIELD CHILDREN'S NHS FT,1008
RAS00,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1004
RQ800,MID ESSEX HOSPITAL SERVICES NHS TRUST,987
RR800,LEEDS TEACHING HOSPITALS NHS TRUST,987
RBZ00,NORTHERN DEVON HEALTHCARE,984
RFS00,CHESTERFIELD ROYAL HOSPITAL NHS F/T,981
R1D00,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,978
RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,975
RRE00,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,970
RXE00,RDASH NHS FOUNDATION TRUST,968
RWA00,HULL AND EAST YORKSHIRE HPLS NHS TRUST,958
RDD00,BASILDON AND THURROCK UH NHS FOUND.TRUST,951
RRF00,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,949
RCB00,YORK & SCARBOROUGH TH NHSFT,946
RW100,HAMPSHIRE & IOW HEALTHCARE NHS F TRUST,944
RWV00,DEVON PARTNERSHIP NHS TRUST,943
RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY,937
RMP00,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,932
RLN00,CITY HOSP SUNDERLAND FOUNDATION TRUST,930
RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,922
RAE00,BRADFORD TEACHING HOSPITALS NHS FT,906
RX300,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,904
R0D00,UNIVERSITY HOSPITALS DORSET NHS FT,901
RA200,ROYAL SURREY COUNTY HOSP NHS FOUND TRUST,897
R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,891
RMC00,BOLTON NHS FT,873
RMY00,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,867
RCD00,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,863
RA700,UNIV HPLS BRISTOL NHS FOUNDATION TRUST,862
RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,862
RJL00,NORTHERN LINCOLNSHIRE & GOOLE NHS FT,860
RTG00,DERBY TEACHING HOSPITALS NHS FOUND TRUST,859
RNL00,NORTH CUMBRIA UNIV HOSP NHS TRUST,858
RPG00,OXLEAS NHS FOUNDATION TRUST,851
RWK00,EAST LONDON NHS FOUNDATION TRUST,850
RDE00,EAST SUFFOLK AND NORTH ESSEX NHS FT,846
RWR00,HERTFORDSHIRE P/SHIP UNIVERSITY NHS FT,845
RWA00,HULL UNIVERSITY TEACHING HPLS NHS TRUST,844
RNH00,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,843
RQ300,BIRMINGHAM WOMANS & CHILDRENS NHS FT,843
RR700,GATESHEAD HEALTH NHS FOUNDATION TRUST,843
R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FT,841
RRE00,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,833
RAS00,THE HILLINGDON HOSPITALS NHS FT,831
RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,826
RCU00,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,823
RM300,NORTHERN CARE ALLIANCE NHS FT,821
RQ600,ROYAL L'POOL & BROADGREEN HPLS UNIV TRUS,820
R1K00,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,804
REM00,LIVERPOOL UNIVERSITY HOSPITALS NHS FT,789
RX100,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,782
RV500,SOUTH LONDON & MAUDSLEY NHS FOUND TRUST,780
RMP00,TAMESIDE & GLOSSOP INTEGRATED CARE NHSFT,780
RA700,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,771
RJZ00,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,767
RP100,NORTHAMPTONSHIRE HC NHS FOUNDATION TRUST,766
RAP00,NORTH MIDDLESEX UNIVERSITY HPL NHS TRUST,757
RBN00,MERSEY & WEST LANCS TEACH HOSP NHST,753
RQ300,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,752
RXG00,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FT,749
RFS00,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,748
RCD00,HARROGATE & DISTRICT FOUNDATION TRUST,744
RJN00,EAST CHESHIRE NHS TRUST,741
RXT00,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,733
RJ700,ST GEORGE'S UNIV HOSPS FOUNDATION NHST,729
RW500,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,729
RXF00,MID YORKSHIRE HOSPITALS NHS TRUST,722
RV300,CTRL & N W LONDON NHS FOUNDATION TRUST,719
RA200,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,718
RM100,NORFOLK & NORWICH UNIVERSITY HPL NHS TRT,714
RA400,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,710
RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS F TRUST,708
RWR00,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,703
RT100,CAMBRIDGESHIRE & PETERBOROUGH NHS FT,702
RV500,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,700
RWX00,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,687
RP100,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,682
RY400,HERTFORDSHIRE COMMUNITY NHS TRUST,677
RKB00,UNIVERSITY HPLS COVENTRY & WARWICK TRUST,672
REM00,AINTREE UNIVERSITY HOSPITAL NHS FT,669
RXY00,KENT & MEDWAY NHS & SOC CARE PSHIP TRUST,669
RHQ00,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,664
RQM00,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,654
RXN00,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,648
RBS00,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,645
R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,645
RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FT,643
RCF00,AIREDALE NHS FOUNDATION TRUST,642
RW400,MERSEY CARE NHS FOUNDATION TRUST,641
RQ600,ROYAL L'POOL&BROADGREEN HPLS UNIV TRUST,635
RXG00,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,635
RKB00,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,632
RVN00,AVON & WILTSHIRE MENTAL HLTH P/SHIP TRST,631
RAE00,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,625
RD300,POOLE HOSPITALS NHS FOUNDATION TRUST,622
RRV00,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,619
RX400,CUMBRIANORTHUMBERLANDTYNE AND WEAR NHS FOUNDATION TRUST,618
RW500,LANCASHIRE & SOUTH CUMBRIA NHS FT,612
RWW00,WARRINGTON & HALTON HPLS FOUNDATION TR,608
RWY00,CALDERDALE & HUDDERSFIELD NHS FOUND TR,605
RRV00,UNIVERSITY COLLEGE LONDON FOUNDATION TR,604
RW600,PENNINE ACUTE HOSPITALS NHS TRUST,602
RBS00,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,600
RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FT,598
RTG00,UNIV HOSPITALS OF DERBY & BURTON NHS FT,594
RW500,LANCASHIRE CARE NHS FOUNDATION TRUST,591
RV300,CENTRA AND NORTH WEST LONDON NHS FOUNDATION TRUST,591
RHQ00,SHEFFIELD TEACHING HOSPITALS NHS TRUST,588
RKE00,THE WHITTINGTON HEALTH NHS TRUST,588
RXN00,LANCASHIRE T/ING HSP NHS FOUNDATION TRUS,587
RYK00,DUDLEY&WALSALL MH PARTNERSHIP NHS TRUST,573
RR100,HEART OF ENGLAND NHS FOUNDATION TRUST,572
RCE00,BRADFORD DISTRICT CARE NHS FT,564
RXY00,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,554
RM300,SALFORD ROYAL NHS FOUNDATION TRUST,543
RVN00,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,542
RYY00,KENT COMMUNITY HEALTH NHS FT,540
RXX00,SURREY AND BORDERS PARTNERSHIP NHS FT,532
RDZ00,ROYAL BOURNEMOUTH&XCH HOS FOUNDATION TR,529
RT100,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,524
RAP00,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,523
RAX00,KINGSTON HOSPITAL NHS TRUST,517
RT200,PENNINE CARE NHS FOUNDATION TRUST,517
RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,516
RVL00,BARNET AND CHASE FARM HPLS NHS TRUST,512
RBN00,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,504
RGQ00,IPSWICH HOSPITAL NHS TRUST,502
RJ100,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,500
RX400,CUMBRIANORTHUMBERLANDTYNE&WEAR NHS FT,497
RQY00,SOUTH WEST LONDON & ST GEORGES M/H TRUST,491
RWW00,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,483
RY600,LEEDS COMMUNITY HEALTHCARE NHS TRUST,478
RX400,NORTHUMBERLAND TYNE AND WEAR NHS TRUST,465
RM100,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,465
RRP00,BARNET ENFIELD & HARINGEY MH TRUST,464
R1C00,THE SOLENT NHS TRUST,455
RXM00,DERBYSHIRE HEALTHCARE NHS FT,453
RP700,LINCOLNSHIRE PSHIP NHS FOUNDATION TRUST,448
REN00,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,447
RE900,SOUTH TYNESIDE NHS FOUNDATION TRUST,432
RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,427
RRQ00,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,426
RXX00,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,423
RGD00,LEEDS AND YORK PARTNERSHIP NHS FT,421
RJ700,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,419
RP700,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,410
REP00,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,398
RY300,NORFOLK COMMUNITY HLTH & CARE NHS TRUST,389
RLY00,NORTH STAFFS COMBINED HEALTHCARE TRUST,377
RD300,POOLE HOSPITAL NHS FOUNDATION TRUST,376
RXF00,MID YORKSHIRE TEACHING NHS TRUST,376
RYV00,CAMBS COMMUNITY SERVICES NHS TRUST,374
RL100,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,374
REN00,THE CLATTERBRIDGE CANCER CENTRE NHS FT,366
RQ400,BLACK COUNTRY PARTNERSHIP NHS FT,354
R1C00,SOLENT NHS TRUST,354
RK700,SHEFFIELD HEALTH & SOCIAL CARE NHS FT,349
RRP00,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,348
RV300,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,343
TAJ00,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,341
RWY00,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,340
RVY00,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,337
RBT00,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,337
RQ400,BLACK COUNTRY HEALTHCARE NHS FT,328
RGD00,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,327
RXA00,CHESHIRE & WIRRAL P/S NHS FOUNDATION TR,325
RYK00,DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST,323
RKE00,WHITTINGTON HEALTH NHS TRUST,317
RWW00,WARRINGTON & HALTON TEACHING HOSP NHSFT,316
RYY00,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,303
RAX00,KINGSTON HOSPITAL NHS FOUNDATION TRUST,302
RRQ00,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,293
RPY00,THE ROYAL MARSDEN NHS FOUNDATION TRUST,266
R1E00,STAFFS&STOKE-ON TRENT P/SHIP NHS TRUST,260
RTV00,NORTH WEST BOROUGHS HEALTHCARE NHS FT,259
RTQ00,2GETHER NHS FOUNDATION TRUST,256
RXE00,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,255
RP600,MOORFIELDS EYE HOSPITAL NHS FT,253
RXM00,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,250
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,249
RQY00,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,246
RPC00,QUEEN VICTORIA HPL NHS FOUNDATION TRUST,243
RKB00,UNI HPLS COVENTRY & WARWICKSHIRE TRUST,242
RCE00,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,241
RBQ00,LIVERPOOL HEART & CHEST HOSP FOUND TRUST,236
TAD00,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,234
RLY00,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,224
RY800,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,217
RL100,ROBERT JONES & AGNES HUNT HPL NHS TRUST,213
RYW00,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,207
RT300,ROYAL BROMPTON & HAREFIELD NHS FT,206
RYW00,BIRMINGHAM COMMUNITY HC FOUNDATION TRUST,206
RY700,WIRRAL COMMUNITY NHS FOUNDATION TRUST,205
RK700,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,204
R1K00,LONDON NORTH WEST HEALTHCARE NHS TRUST,201
RJ100,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,200
RXA00,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,200
RQ400,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,198
TAH00,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,181
RBQ00,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,180
RPC00,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,165
RY200,BRIDGEWATER COMM HEALTHCARE NHS TRUST,164
RP600,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,163
RWN00,SOUTH ESSEX P/SHIP UNIV NHS FOUND TRUST,153
R1A00,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,146
RYV00,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,140
RAN00,ROYAL NATIONAL ORTHO.HOSPITAL TRUST,128
RX600,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,128
RAX00,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,123
RGM00,ROYAL PAPWORTH HOSPITAL NHS FT,104
