HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,unique_products
RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,3011
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FT,2868
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,2711
RXP00,CO.DURHAM & DARLINGTON NHS FOUNDATION TR,2649
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,2598
RC900,LUTON & DUNSTABLE HOSPITAL TRUST,2590
RPA00,MEDWAY NHS FOUNDATION TRUST,2519
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,2457
RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2454
RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,2431
RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2430
RBK00,WALSALL HEALTHCARE NHS TRUST,2412
RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,2395
RTE00,GLOUCESTERSHIRE HPLS NHS FOUNDATION TRST,2358
RLQ00,WYE VALLEY NHS TRUST,2336
RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2318
Y999666,UNIDENTIFIED TRUST,2314
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FT,2287
RP500,DONCASTER & BASSETLAW T HOSPITALS NHS FT,2274
RH500,SOMERSET NHS FOUNDATION TRUST,2226
RXP00,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2223
RYR00,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,2219
RN500,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2167
RDY00,DORSET H/CARE UNI NHS FOUNDATION TRUST,2140
RF400,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,2093
RP500,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2069
RWF00,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2055
RQW00,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,2032
RK500,SHERWOOD FOREST HOSPITALS NHS TRUST,1997
RK500,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1996
RAJ00,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1977
RWH00,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1966
RF400,BARKINGHAVERING & REDBRIDGE HPLS TRST,1925
RWE00,UNIVERSITY HPLS OF LEICESTER NHS TRUST,1915
RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1910
RFR00,THE ROTHERHAM NHS FOUNDATION TRUST,1897
