chemical_code,chemical,para,total_items,total_cost
0410030C0,Methadone hydrochloride,Opioid dependence,2794054,18335174.53379196
0404000M0,Methylphenidate hydrochloride,CNS stimulants and drugs used for ADHD,1434439,46833494.58762204
0410030A0,Buprenorphine hydrochloride,Opioid dependence,1095229,21485271.076212417
0403030Q0,Sertraline hydrochloride,Selective serotonin re-uptake inhibitors,1002871,5866746.400689214
0603020T0,Prednisolone,Glucocorticoid therapy,912434,3876238.847397132
0402010AB,Quetiapine,Antipsychotic drugs,884373,14051542.002296355
0401010AD,Melatonin,Hypnotics,829155,40144376.553735405
0401020K0,Diazepam,Anxiolytics,785240,994381.8846952533
2130,Eye Products,Eye Products,745764,8200110.649404175
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),Penicillins,712226,2671018.8497047313
0402010AD,Aripiprazole,Antipsychotic drugs,629007,8128237.532942074
040201060,Olanzapine,Antipsychotic drugs,592736,3536215.6082425476
0103050P0,Omeprazole,Proton pump inhibitors,568955,4224594.583233869
0501013B0,Amoxicillin,Penicillins,524659,1051091.8592244578
0403030E0,Fluoxetine hydrochloride,Selective serotonin re-uptake inhibitors,521706,4351429.992337166
1104010I0,Dexamethasone,Corticosteroids,514990,5419250.460897624
0411000G0,Memantine hydrochloride,Dementia,513097,5922292.429260252
0401010Z0,Zopiclone,Hypnotics,497349,302845.8117436203
0501012G0,Flucloxacillin sodium,Penicillins,493883,2044675.885411493
0403040X0,Mirtazapine,Other antidepressant drugs,475033,898312.1194832298
0411000D0,Donepezil hydrochloride,Dementia,463458,1371218.9879984288
0304010W0,Promethazine hydrochloride,Antihistamines,456547,3274594.0914016855
040201030,Risperidone,Antipsychotic drugs,456195,4396539.625776525
0901020G0,Folic acid,Drugs used in megaloblastic anaemias,449595,505403.69064030575
1001030U0,Methotrexate,Rheumatic disease suppressant drugs,437923,9591583.556327203
0404000U0,Lisdexamfetamine dimesylate,CNS stimulants and drugs used for ADHD,387728,25959511.124027416
0407010F0,Co-codamol (Codeine phosphate/paracetamol),Non-opioid analgesics and compound preparations,339887,930430.1110495033
0501030I0,Doxycycline hyclate,Tetracyclines,329913,969723.448411858
0103050L0,Lansoprazole,Proton pump inhibitors,309940,561759.4399474456
1103010C0,Chloramphenicol,Antibacterials,295310,1585364.8583053795
