BNF_CODE,BNF_NAME,total_items,total_actual_cost
0402020ADAAABAB,Aripiprazole 400mg inj pre-filled syringes,261,140628.05279999998
1108020J0BBAAAA,Iopidine 1% eye drops 0.25ml unit dose,224,96819.49524999998
0404000U0AAABAB,Lisdexamfetamine 30mg capsules,1472,87300.31279
0802020T0BEAAAB,Adoport 1mg capsules,327,78685.62479999993
0404000U0AAADAD,Lisdexamfetamine 50mg capsules,1090,76996.92758000003
0607020X0BBAAAA,Ryeqo 40mg/1mg/0.5mg tablets,345,73356.6029
1104020AEBBAAAA,Ikervis 1mg/ml eye drops emulsion 0.3ml unit dose,327,72339.92201999995
0401010ADBDABCV,Slenyto 5mg modified-release tablets,472,67646.59280000004
0401010ADBBAAAA,Circadin 2mg modified-release tablets,1578,66550.56552999996
040201030AAATAT,Risperidone 250microgram tablets,705,66052.09001000006
190201000AABLBL,Exception Handler Unspecified Item,2187,60410.09181999995
0407042U0AAABAB,Atogepant 60mg tablets,152,60130.052310000014
0410030C0BFABAF,Physeptone 1mg/ml oral solution sugar free,7131,56519.87280000003
0410030A0BFABAM,Espranor 8mg oral lyophilisates,1384,54681.79039999998
0404000U0AAACAC,Lisdexamfetamine 40mg capsules,836,52947.096399999995
0404000U0BCAAAB,Elvanse 30mg capsules,891,52927.568400000026
0403030Q0AABDBD,Sertraline 50mg/5ml oral suspension sugar free,118,52862.42319999999
0407042F0AAAZAZ,Clonidine 50micrograms/5ml oral solution sugar free,76,52407.47239999999
0106040M0AAAJAJ,Macrogol 3350 oral powder 8.5g sachets sugar free,178,52183.65676000001
0501070X0AAABAB,Rifaximin 550mg tablets,178,48596.6871
