period_date,product_code,product,total_items,total_cost
2025-09-01,0403030Q0AA,Sertraline hydrochloride,10976,137425.17422999974
2025-09-01,0402010ABAA,Quetiapine,10505,181328.73996999956
2025-09-01,0603020T0AA,Prednisolone (Systemic),10103,65903.19978000008
2025-09-01,0410030C0AA,Methadone hydrochloride (Drug Dependence),9876,53924.38088000008
2025-09-01,0501013K0AA,Co-amoxiclav,9196,20643.714139999996
2025-09-01,0404000M0AA,Methylphenidate hydrochloride,9121,246721.01006000044
2025-09-01,0402010ADAA,Aripiprazole,8844,62758.89299000004
2025-09-01,0410030C0BF,Physeptone (Drug Dependence),8357,65929.14080000004
2025-09-01,0401010ADAA,Melatonin,8162,173110.2260899994
2025-09-01,0103050P0AA,Omeprazole,8006,89606.45237999978
2025-09-01,0401020K0AA,Diazepam,7867,5260.337240000016
2025-09-01,040201060AA,Olanzapine,6752,26457.63578999996
2025-09-01,0501012G0AA,Flucloxacillin sodium,6713,17394.295630000015
2025-09-01,0304010W0AA,Promethazine hydrochloride (Systemic),5782,16714.554750000047
2025-09-01,0901020G0AA,Folic acid,5564,6996.460250000005
2025-09-01,0501013B0AA,Amoxicillin,5533,7881.287440000001
2025-09-01,0411000G0AA,Memantine hydrochloride (Dementia),5446,50311.20285000004
2025-09-01,0403030E0AA,Fluoxetine hydrochloride,5240,23342.01509
2025-09-01,0404000M0BG,Medikinet,5165,188001.75279999987
2025-09-01,0401010Z0AA,Zopiclone,5088,2195.823569999999
