period_date,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,unique_products
2025-09-01,RDY00,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,490
2025-09-01,RLQ00,WYE VALLEY NHS TRUST,489
2025-09-01,RTG00,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,483
2025-09-01,RVJ00,NORTH BRISTOL NHS TRUST,480
2025-09-01,RWF00,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,474
2025-09-01,RMC00,BOLTON NHS FOUNDATION TRUST,463
2025-09-01,RBD00,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,462
2025-09-01,RWE00,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,456
2025-09-01,RCX00,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,455
2025-09-01,RTH00,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,453
2025-09-01,R0A00,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,451
2025-09-01,RNS00,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,441
2025-09-01,RQX00,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,440
2025-09-01,RJR00,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,430
2025-09-01,RWH00,EAST AND NORTH HERTFORDSHIRE NHS TRUST,430
2025-09-01,RTF00,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,411
2025-09-01,RGP00,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,410
2025-09-01,RW100,HAMPSHIRE & IOW HEALTHCARE NHS F TRUST,408
2025-09-01,RN500,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,404
2025-09-01,RD800,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,398
2025-09-01,RVW00,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,389
2025-09-01,RGN00,NORTH WEST ANGLIA NHS FOUNDATION TRUST,384
2025-09-01,R1F00,ISLE OF WIGHT NHS TRUST,383
2025-09-01,RWA00,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,372
2025-09-01,RBL00,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,368
2025-09-01,RRK00,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,365
2025-09-01,RXL00,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,361
2025-09-01,RHW00,ROYAL BERKSHIRE NHS FOUNDATION TRUST,356
2025-09-01,RJL00,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,350
2025-09-01,RN700,DARTFORD AND GRAVESHAM NHS TRUST,347
2025-09-01,RTD00,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,347
2025-09-01,RRE00,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,337
2025-09-01,RHU00,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,332
2025-09-01,RHM00,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,331
2025-09-01,RBT00,THE MID CHESHIRE HOSPITALS NHS TRUST,328
2025-09-01,RJE00,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,321
2025-09-01,RNN00,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,317
2025-09-01,REM00,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,316
2025-09-01,RA900,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,306
2025-09-01,RWD00,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,301
2025-09-01,RD100,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,287
2025-09-01,RAL00,ROYAL FREE LONDON NHS FOUNDATION TRUST,281
2025-09-01,RTR00,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,278
2025-09-01,RJ800,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,276
2025-09-01,RTQ00,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,276
2025-09-01,R1H00,BARTS HEALTH NHS TRUST,274
2025-09-01,REF00,ROYAL CORNWALL HOSPITALS NHS TRUST,273
2025-09-01,RTP00,SURREY AND SUSSEX HEALTHCARE NHS TRUST,273
2025-09-01,RY500,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,266
2025-09-01,RRF00,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,264
2025-09-01,RK900,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,261
2025-09-01,RVR00,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,259
2025-09-01,RDE00,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,257
2025-09-01,RFR00,THE ROTHERHAM NHS FOUNDATION TRUST,254
2025-09-01,RNA00,THE DUDLEY GROUP NHS FOUNDATION TRUST,248
2025-09-01,RN300,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,244
2025-09-01,RTX00,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,234
2025-09-01,RXQ00,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,217
2025-09-01,R1K00,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,213
2025-09-01,R0B00,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,213
2025-09-01,RX200,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,213
2025-09-01,RH800,ROYAL DEVON UNIVERSITY HEALTHCARE NHSFT,212
2025-09-01,RXT00,B'HAM & S'HULL MH NHS FOUNDATION TRUST,211
2025-09-01,RA700,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,209
2025-09-01,RGT00,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,207
2025-09-01,RMP00,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,207
2025-09-01,RM300,NORTHERN CARE ALLIANCE NHS FT,205
2025-09-01,RV500,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,190
2025-09-01,RCD00,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,185
2025-09-01,R0D00,UNIVERSITY HOSPITALS DORSET NHS FT,184
2025-09-01,RCU00,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,179
2025-09-01,RWJ00,STOCKPORT NHS FOUNDATION TRUST,178
2025-09-01,RR800,LEEDS TEACHING HOSPITALS NHS TRUST,174
2025-09-01,RX400,CUMBRIANORTHUMBERLANDTYNE AND WEAR NHS FOUNDATION TRUST,174
2025-09-01,RNU00,OXFORD HEALTH NHS FOUNDATION TRUST,172
2025-09-01,RW500,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,171
2025-09-01,RJC00,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,167
2025-09-01,RWR00,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,167
2025-09-01,RX300,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,167
2025-09-01,RXR00,EAST LANCASHIRE HOSPITALS NHS TRUST,166
2025-09-01,RAT00,NORTH EAST LONDON NHS FOUNDATION TRUST,162
2025-09-01,RRV00,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,158
2025-09-01,RX100,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,155
2025-09-01,RBN00,MERSEY & WEST LANCS TEACH HOSP NHST,154
2025-09-01,RV300,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,154
2025-09-01,RKB00,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,150
2025-09-01,RHQ00,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,148
2025-09-01,RGR00,WEST SUFFOLK NHS FOUNDATION TRUST,148
2025-09-01,RPG00,OXLEAS NHS FOUNDATION TRUST,145
2025-09-01,RWK00,EAST LONDON NHS FOUNDATION TRUST,143
2025-09-01,RP100,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,142
2025-09-01,RJZ00,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,139
2025-09-01,RQ300,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,139
2025-09-01,RXG00,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,139
2025-09-01,Y999666,UNIDENTIFIED TRUST,139
2025-09-01,RWX00,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,137
2025-09-01,RXV00,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,137
2025-09-01,RWV00,DEVON PARTNERSHIP NHS TRUST,136
2025-09-01,RFS00,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,135
2025-09-01,RXN00,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,134
2025-09-01,RHA00,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,132
2025-09-01,RKL00,WEST LONDON NHS TRUST,130
2025-09-01,G6V2S,NORTH LONDON NHS FOUNDATION TRUST,125
2025-09-01,RT100,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,123
2025-09-01,RXY00,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,122
2025-09-01,R1L00,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,119
2025-09-01,RA200,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,113
2025-09-01,TAJ00,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,112
2025-09-01,RVN00,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,111
2025-09-01,RV900,HUMBER TEACHING NHS FOUNDATION TRUST,110
2025-09-01,RT200,PENNINE CARE NHS FOUNDATION TRUST,108
2025-09-01,RAE00,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,106
2025-09-01,RR700,GATESHEAD HEALTH NHS FOUNDATION TRUST,106
2025-09-01,RXX00,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,106
2025-09-01,RMY00,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,105
2025-09-01,RJ200,LEWISHAM AND GREENWICH NHS TRUST,96
2025-09-01,RAS00,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,93
2025-09-01,RNZ00,SALISBURY NHS FOUNDATION TRUST,92
2025-09-01,RQM00,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,91
2025-09-01,TAD00,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,88
2025-09-01,RW400,MERSEY CARE NHS FOUNDATION TRUST,84
2025-09-01,RP700,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,83
2025-09-01,RYJ00,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,80
2025-09-01,RBS00,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,79
2025-09-01,RGD00,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,75
2025-09-01,RQY00,SOUTH WEST LONDON & ST GEORGES M/H TRUST,75
2025-09-01,REN00,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,74
2025-09-01,RXF00,MID YORKSHIRE TEACHING NHS TRUST,71
2025-09-01,RJ600,CROYDON HEALTH SERVICES NHS TRUST,70
2025-09-01,RM100,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,67
2025-09-01,RWW00,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,63
2025-09-01,TAH00,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,63
2025-09-01,RDR00,SUSSEX COMMUNITY NHS FOUNDATION TRUST,62
2025-09-01,RKE00,WHITTINGTON HEALTH NHS TRUST,59
2025-09-01,RJ700,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51
2025-09-01,RLT00,GEORGE ELIOT HOSPITAL NHS TRUST,51
2025-09-01,R1D00,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,44
2025-09-01,RL100,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,40
2025-09-01,RCF00,AIREDALE NHS FOUNDATION TRUST,35
2025-09-01,REP00,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,34
2025-09-01,RY800,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,33
2025-09-01,RJN00,EAST CHESHIRE NHS TRUST,27
2025-09-01,RT500,LEICESTERSHIRE PARTNERSHIP NHS TRUST,26
2025-09-01,RNK00,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,25
2025-09-01,RXM00,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,24
2025-09-01,RWY00,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,23
2025-09-01,RA300,WESTON AREA NHS TRUST,19
2025-09-01,RBQ00,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,19
2025-09-01,RYY00,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,18
2025-09-01,RP600,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,17
2025-09-01,RYV00,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,17
2025-09-01,RGM00,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,16
2025-09-01,RAX00,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,16
2025-09-01,RYG00,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,15
2025-09-01,RJ100,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,14
2025-09-01,RXA00,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,14
2025-09-01,RLY00,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,11
2025-09-01,RYW00,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,10
2025-09-01,RET00,THE WALTON CENTRE NHS FOUNDATION TRUST,7
2025-09-01,RY400,HERTFORDSHIRE COMMUNITY NHS TRUST,6
2025-09-01,RAN00,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,6
2025-09-01,RPC00,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,6
2025-09-01,RXE00,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,5
2025-09-01,RW600,PENNINE ACUTE HOSPITALS NHS TRUST,5
2025-09-01,RPY00,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1
2025-09-01,RRJ00,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,1
2025-09-01,RY300,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,1
