period_date,HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,unique_products
2025-09-01,RVV00,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,898
2025-09-01,RC900,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,854
2025-09-01,RTE00,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,851
2025-09-01,RXK00,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,837
2025-09-01,RYR00,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,802
2025-09-01,RF400,BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,770
2025-09-01,RXP00,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,703
2025-09-01,RDU00,FRIMLEY HEALTH NHS FOUNDATION TRUST,694
2025-09-01,RP500,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,674
2025-09-01,RK500,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,662
2025-09-01,RH500,SOMERSET NHS FOUNDATION TRUST,660
2025-09-01,RAJ00,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,654
2025-09-01,RTK00,ASHFORD & ST PETER'S HOSPITALS NHS FOUNDATION TRUST,644
2025-09-01,RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,622
2025-09-01,RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,619
2025-09-01,RXW00,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,602
2025-09-01,RPA00,MEDWAY NHS FOUNDATION TRUST,599
2025-09-01,RQW00,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,579
2025-09-01,RCB00,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,571
2025-09-01,RBK00,WALSALL HEALTHCARE NHS TRUST,542
2025-09-01,RXC00,EAST SUSSEX HEALTHCARE NHS TRUST,531
2025-09-01,RWP00,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,504
2025-09-01,RNQ00,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,501
