BNF_CODE,BNF_NAME,total_items,total_actual_cost
0402020ADAAABAB,Aripiprazole 400mg inj pre-filled syringes,2485,1230870.658
0404000U0AAABAB,Lisdexamfetamine 30mg capsules,17777,1062646.3714296655
1108020J0BBAAAA,Iopidine 1% eye drops 0.25ml unit dose,2377,1023950.5304676853
0401010ADBBAAAA,Circadin 2mg modified-release tablets,22722,979977.6718236227
1104020AEBBAAAA,Ikervis 1mg/ml eye drops emulsion 0.3ml unit dose,3814,864358.637108778
0802020T0BEAAAB,Adoport 1mg capsules,3469,853042.2680139461
0402010J0AAAIAI,Haloperidol 500microgram tablets,1106,842041.0344
0404000U0AAADAD,Lisdexamfetamine 50mg capsules,11565,817075.9007532189
0401010ADBDABCV,Slenyto 5mg modified-release tablets,5067,793402.7355215339
040201030AAATAT,Risperidone 250microgram tablets,7407,760648.3790153251
190201000AABLBL,Exception Handler Unspecified Item,31593,707197.5468751054
0401010ACAAAAAA,Sodium oxybate 500mg/ml oral solution sugar free,660,699887.0574850711
0407042F0AAAZAZ,Clonidine 50micrograms/5ml oral solution sugar free,801,655325.5678377193
0404000U0BCAAAB,Elvanse 30mg capsules,10875,649784.0267180173
0410030C0BFABAF,Physeptone 1mg/ml oral solution sugar free,81636,643252.3408000002
0501070X0AAABAB,Rifaximin 550mg tablets,2079,615791.6260632623
0105020E0AAAAAA,Prednisolone sodium phosphate 5mg suppositories,746,610417.6939769294
0410030A0BFABAM,Espranor 8mg oral lyophilisates,15239,591870.6916
0410030C0AAAFAF,Methadone 1mg/ml oral solution sugar free,104665,582523.2389056077
0404000M0BGAEAQ,Medikinet XL 20mg capsules,16330,564452.7509508742
