year,dpi_pct,total_dpi,total_all
2014,28.7,13825115,48193531
2015,29.0,14158531,48887717
2016,28.9,14463118,49967101
2017,28.9,14514205,50258127
2018,28.4,14229555,50161375
2019,26.9,13604301,50512573
2020,25.7,13547689,52706479
2021,25.1,12670530,50482148
2022,25.2,12936363,51311502
2023,27.1,13902319,51323004
2024,28.0,14401477,51472029
2025,31.0,15020309,48409332
