cluster,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SABA,"1,430,593 (21,652,431) [6.6%]","1,394,931 (21,782,260) [6.4%]","1,351,585 (22,138,817) [6.1%]","1,289,380 (21,865,356) [5.9%]","1,227,881 (21,460,679) [5.7%]","1,192,469 (21,584,176) [5.5%]","1,215,588 (22,095,154) [5.5%]","1,131,429 (20,843,305) [5.4%]","1,354,779 (21,387,370) [6.3%]","1,665,854 (20,977,451) [7.9%]"
LABA,"334,188 (1,067,898) [31.3%]","314,161 (964,588) [32.6%]","281,829 (838,100) [33.6%]","242,360 (700,763) [34.6%]","204,846 (583,071) [35.1%]","169,801 (484,466) [35.0%]","145,106 (418,636) [34.7%]","121,626 (348,940) [34.9%]","105,097 (294,118) [35.7%]","88,319 (240,018) [36.8%]"
Anticholinergic,"4,760,582 (5,888,615) [80.8%]","5,011,545 (6,083,960) [82.4%]","5,143,812 (6,199,463) [83.0%]","5,108,483 (6,245,780) [81.8%]","4,805,265 (6,062,118) [79.3%]","4,045,009 (5,334,724) [75.8%]","3,430,756 (4,785,376) [71.7%]","2,881,064 (4,241,441) [67.9%]","2,409,663 (3,791,617) [63.6%]","1,953,055 (3,322,169) [58.8%]"
ICS,"554,249 (7,218,083) [7.7%]","509,013 (6,994,869) [7.3%]","463,107 (6,876,883) [6.7%]","425,513 (6,713,047) [6.3%]","394,243 (6,473,845) [6.1%]","372,938 (6,454,505) [5.8%]","396,195 (6,916,808) [5.7%]","379,244 (6,383,644) [5.9%]","467,621 (6,360,642) [7.4%]","626,063 (6,176,254) [10.1%]"
Combi_1,"6,743,577 (12,364,575) [54.5%]","6,861,009 (12,992,997) [52.8%]","6,935,995 (13,602,434) [51.0%]","6,832,273 (14,029,843) [48.7%]","6,554,523 (14,186,200) [46.2%]","6,102,025 (14,005,795) [43.6%]","6,147,160 (14,798,692) [41.5%]","5,773,713 (14,437,199) [40.0%]","5,884,999 (14,489,725) [40.6%]","6,353,609 (14,657,290) [43.3%]"
Combi_2,"1,926 (1,929) [99.8%]","67,872 (69,043) [98.3%]","286,790 (311,404) [92.1%]","616,196 (703,338) [87.6%]","1,042,797 (1,395,462) [74.7%]","1,722,059 (2,648,907) [65.0%]","2,212,884 (3,691,813) [59.9%]","2,383,454 (4,227,619) [56.4%]","2,714,204 (4,988,030) [54.4%]","3,215,419 (5,949,822) [54.0%]"
