cluster,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SABA,"1,430,593 (21,652,431)","1,394,931 (21,782,260)","1,351,585 (22,138,817)","1,289,380 (21,865,356)","1,227,881 (21,460,679)","1,192,469 (21,584,176)","1,215,588 (22,095,154)","1,131,429 (20,843,305)","1,354,779 (21,387,370)","1,665,854 (20,977,451)"
LABA,"334,188 (1,067,898)","314,161 (964,588)","281,829 (838,100)","242,360 (700,763)","204,846 (583,071)","169,801 (484,466)","145,106 (418,636)","121,626 (348,940)","105,097 (294,118)","88,319 (240,018)"
Anticholinergic,"4,760,582 (5,888,615)","5,011,545 (6,083,960)","5,143,812 (6,199,463)","5,108,483 (6,245,780)","4,805,265 (6,062,118)","4,045,009 (5,334,724)","3,430,756 (4,785,376)","2,881,064 (4,241,441)","2,409,663 (3,791,617)","1,953,055 (3,322,169)"
ICS,"554,249 (7,218,083)","509,013 (6,994,869)","463,107 (6,876,883)","425,513 (6,713,047)","394,243 (6,473,845)","372,938 (6,454,505)","396,195 (6,916,808)","379,244 (6,383,644)","467,621 (6,360,642)","626,063 (6,176,254)"
Combi_1,"6,743,577 (12,364,575)","6,861,009 (12,992,997)","6,935,995 (13,602,434)","6,832,273 (14,029,843)","6,554,523 (14,186,200)","6,102,025 (14,005,795)","6,147,160 (14,798,692)","5,773,713 (14,437,199)","5,884,999 (14,489,725)","6,353,609 (14,657,290)"
Combi_2,"1,926 (1,929)","67,872 (69,043)","286,790 (311,404)","616,196 (703,338)","1,042,797 (1,395,462)","1,722,059 (2,648,907)","2,212,884 (3,691,813)","2,383,454 (4,227,619)","2,714,204 (4,988,030)","3,215,419 (5,949,822)"
